#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
athlete;Athlete;;;;;;;;;;;;x
athlete_desc;'So, wait, are they playing American football or soccer?'\n'Yes.';;;;;;;;;;;;x
artist;Artist;;;;;;;;;;;;x
artist_desc;A lover of beauty, this individual is both a patron and a practitioner of all forms of the arts, ranging from painting, holograms and movies to fanfiction and song.;;;;;;;;;;;;x
gardener;Gardener;;;;;;;;;;;;x
intellectual;Intellectual;;;;;;;;;;;;x
intellectual_desc;There is no wealth like knowledge, no poverty like ignorance.;;;;;;;;;;;;x
mystic;Mystic;;;;;;;;;;;;x
vat_born_desc;This character was decanted in a VAT chamber, an artificially-created human grown in a test tube. The process is similar to cloning but with multiple donors.;Ce personnage est un clône, un être humain créé artificiellement à partir du modèle génétique de quelqu'un d'autre.;;;;;;;;;;;;x
heavy_worlder;Heavy Worlder;;;;;;;;;;;;;x
heavy_worlder_desc;This character, or an ancestor, was genetically modified to survive on high gravity worlds.;;;;;;;;;;;;;x
spacer_physiology;Spacer Physiology;;;;;;;;;;;;;x
spacer_physiology_desc;This character's physiology has been changed from multiple generations spent in low gravity. They are much taller and thinner on average than other humans and cannot survive on a high gravity planet for very long without a water tank.;;;;;;;;;;;;;x
mobster;Mobster;;;;;;;;;;;;;x
mobster_desc;This person is of an organized crime syndicate originating from back before space travel.;;;;;;;;;;;;;x
organic_wifi;BiFi;;;;;;;;;;;;;x
organic_wifi_desc;This character, or an ancestor, was genetically modified to posses a biological WiFi connection, a useful ability for staying connected and accessing information from the outernet without the need for gadgets or cybernetics. Essentially, they can communicate telepathically with other BiFi.;;;;;;;;;;;;;x
cat_splice;Nekojin;;;;;;;;;;;;;x
cat_splice_desc;This character, or an ancestor, had their genes spliced with a cat. Though still recognizably human, the results are uncanny.;;;;;;;;;;;;;x
relaxed;Relaxed;;;;;;;;;;;;x
relaxed_desc;This character currently feels like things are going well and their life is under their control.;;;;;;;;;;;;x
on_leave;On Leave;;;;;;;;;;;;;x
on_leave_desc;This character is currently taking a leave of absence from their official duties.;;;;;;;;;;;;;x
EVTDESCHEALTH50;All good things must pass. Lately you've found your good humor slipping. The universe once again feels like a vast, unknowable, and hostile place, where your well-being is a temporary accident.;;;;;;;;;;;;x
EVTOPTAHEALTH50;Ah. Things are back to normal, then.;;;;;;;;;;;;x
EVTDESCHEALTH51;[Root.GetCrisisBestName] has gained the Stressed trait.;;;;;;;;;;;;x
EVTDESCHEALTH52;[Root.GetCrisisBestName] has lost the Stressed trait.;;;;;;;;;;;;x
EVTDESCHEALTH53;[Root.GetCrisisBestName] has gained the Relaxed trait.;;;;;;;;;;;;x
EVTDESCHEALTH54;[Root.GetCrisisBestName] has lost the Relaxed trait.;;;;;;;;;;;;x
#military traits
frigate_pilot;Frigate Pilot;Pilote de chasseur;;;;;;;;;;;;x
frigate_pilot_desc;This character's military training focused on piloting ships personally, any kind of ship that can be piloted like that, be it gunships, laserships, missileships or anything else similar.;Ce personnage a reçu une éducation militaire focalisée sur le pilote de petite unités comme les chasseurs ou les bombardiers légers.;;;;;;;;;;;;x
warship_captain;Warship Captain;Capitaine de vaisseau;;;;;;;;;;;;x
warship_captain_desc;This character's military training focused commanding bigger ships that are very complex to control, for example destroyers and battleships.;Ce personnage à reçu une éducation militaire focalisée sur les opération de flottes massives impliquant l'usage de navires capitaux comme les destroyers, croiseurs de bataille et cuirassés.;;;;;;;;;;;;x
marine_captain;Marine Captain;Colonel des marines;;;;;;;;;;;;x
marine_captain_desc;This character's military training focused on infiltrating enemy lines by force using transport ships, for boarding or siege assaults.;Ce personnage à reçu une éducation militaire focalisée sur l'infanterie, le blindage et l'artillerie de combat, incluant des opérations au sol et d'abordage spatial.;;;;;;;;;;;;x
army_captain;Army Captain;Pilote de chasseur;;;;;;;;;;;;x
army_captain_desc;This character's military training focused leading and fighting alongside infantry forces, can be helpful in boarding enemy ships but land fights is where this person excels.;Ce personnage à reçu une éducation militaire focalisée sur l'infanterie, le blindage et l'artillerie de combat, incluant des opérations au sol et d'abordage spatial.;;;;;;;;;;;;x
orbital_combat_specialist;Orbital Combat Specialist;;;;;;;;;;;;;x
orbital_combat_specialist_desc;This character had his military training focus on fighting on orbits, he is good in sieges, and can engage in special tactics when fighting in an orbit.;;;;;;;;;;;;;x
short_range_specialist;Short Range Specialist;;;;;;;;;;;;;x
short_range_specialist_desc;This character had training for close range deep space fights, his skill is in leading all the types of smaller frigates into ranges where their weapons are effective.;;;;;;;;;;;;;x
long_range_combat_specialist;Long Range Specialist;;;;;;;;;;;;;x
long_range_combat_specialist_desc;This character knows how dangerous it is to fight in short range, and prefer to fight at longer ranges.;;;;;;;;;;;;;x
pursuit_specialist;Pursuit Specialist;;;;;;;;;;;;;x
pursuit_specialist_desc;This character breaks the conventions of war, normally pursuit is done just to scare enemies off, being considered dishonorable to destroy expensive ships that are mostly defenseless.;;;;;;;;;;;;;x
range_generalist;Range Generalist;;;;;;;;;;;;;x
range_generalist_desc;This character decided to learn how to be most effective he can at all distances.;;;;;;;;;;;;;x
kinetic_master;Kinetic Weapons Master;;;;;;;;;;;;x
kinetic_master_desc;This character is master at predicting paths enemies, both in space and ground, and in the usage of cannons, railguns, mass drivers and any other kind of weapon that ejects projectiles of some kind, do not be surprised if this character owns a gunpowder-based sidearm too.;;;;;;;;;;;;x
laser_master;Energy Weapons Master;;;;;;;;;;;;x
laser_master_desc;This character favors direct energy weapons, for example lasers, particle weapons, casaba-howitzer and any other kind of weapon that relies on hitting enemies with some kind of radiation travelling at the speed of light.;;;;;;;;;;;;x
missile_master;Guided Weapons Master;;;;;;;;;;;;x
missile_master_desc;This character prefers weapons that are really hard to dodge, using missiles, drones, guided bombs, self-propelled asteroids, as long it has propulsion and can aim and move by itself, it is a good weapon for this character.;;;;;;;;;;;;x
weapon_master;Generalist Weapon Master;;;;;;;;;;;;x
weapon_master_desc;This character knows how to use weapons, all of them, doesn't matter what kind of weapon it is as long it is a weapon.;;;;;;;;;;;;x
jungle_terrain_leader;Orthodox Navigator;;;;;;;;;;;;x
jungle_terrain_leader_desc;This character has a navigation style that is rather standard, around how to navigate near main sequence stars and fight safely near population centers.;;;;;;;;;;;;x
rough_terrain_leader;Astute Navigator;;;;;;;;;;;;x
rough_terrain_leader_desc;This character is really good at predicting where the enemy will be, a necessary skill when fighting in the open and sparse areas in nebulas and similar systems, with an added bonus of surprising the enemy when possible when a dust cloud or debris field is available.;;;;;;;;;;;;x
mountain_terrain_leader;Gravity Sailor;;;;;;;;;;;;x
mountain_terrain_leader_desc;This character learned how to sail with gravity's help, slingshotting around the system with ease, a necessary skill when fighting near black holes and other high-gravity stars;;;;;;;;;;;;x
desert_terrain_leader;Unorthodox Navigator;;;;;;;;;;;;x
desert_terrain_leader_desc;This character decided to go in the unorthodox way of navigating, surprising enemies, ambushing them when possible, using solar winds and civilian traffic as cover, and having in his fleets minelayers when possible.;;;;;;;;;;;;x
shock_leader;Shock Leader;;;;;;;;;;;;x
shock_leader_desc;This character tries to use shock and awe tactics, hitting the enemy hard and fast before it can recover.;;;;;;;;;;;;x

