#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
centralconcentration;Demesne Centralization;Centralisation;Zentralisierung;;Centralización;;;;;;;;;x
local_theocracy_vassal_legitimacy;Administrative Government;;;;;;;;;;;;;x
local_theocracy_vassal_legitimacy_desc;The general principles used to determine how local administrators are selected.;;;;;;;;;;;;;x
local_theocracy_vassal_legitimacy_0;Hereditary Administrators;;;;;;;;;;;;;x
local_theocracy_vassal_legitimacy_0_desc;Administrative centers and shrine worlds are led by hereditary rulers.;;;;;;;;;;;;;x
local_theocracy_vassal_legitimacy_0_option;Hereditary;;;;;;;;;;;;;x
local_theocracy_vassal_legitimacy_1;Elected Administrators;;;;;;;;;;;;;x
local_theocracy_vassal_legitimacy_1_desc;Administrative centers and shrine worlds are led by officials elected from among the local populace.;;;;;;;;;;;;;x
local_theocracy_vassal_legitimacy_1_option;Elected;;;;;;;;;;;;;x
local_theocracy_vassal_legitimacy_2;Appointed Administrators;;;;;;;;;;;;;x
local_theocracy_vassal_legitimacy_2_desc;Administrative centers and shrine worlds are led by administrators or priests appointed by the central government.;;;;;;;;;;;;;x
local_theocracy_vassal_legitimacy_2_option;Appointed;;;;;;;;;;;;;x
crown_term_length;Term Length;Mandat;;;;;;;;;;;;x
crown_term_length_desc;The length of time each leader holds power between elections.;La durée pendant la quelle le dirigeant détient le pouvoir entre deux éléctions.;;;;;;;;;;;;x
crown_term_length_0;One Year Terms;Mandat de quatre ans;;;;;;;;;;;;x
crown_term_length_0_option;Annual;Court;;;;;;;;;;;;x
crown_term_length_0_desc;Elections are held every year.;Les dirigeants détiennent le pouvoir pendant quatre ans avant qu'un autre ne puisse être élu.;;;;;;;;;;;;x
crown_term_length_1;Four Year Terms;Mandat de quatre ans;;;;;;;;;;;;x
crown_term_length_1_option;Short;Court;;;;;;;;;;;;x
crown_term_length_1_desc;Leaders hold power for four years before a new leader must be elected.;Les dirigeants détiennent le pouvoir pendant quatre ans avant qu'un autre ne puisse être élu.;;;;;;;;;;;;x
crown_term_length_2;Six Year Terms;Mandat de six ans;;;;;;;;;;;;x
crown_term_length_2_option;Medium;Moyen;;;;;;;;;;;;x
crown_term_length_2_desc;Leaders hold power for six years before a new leader must be elected.;Les dirigeants détiennent le pouvoir pendant six ans avant qu'un autre ne puisse être élu.;;;;;;;;;;;;x
crown_term_length_3;Ten Year Terms;Mandat de dix ans;;;;;;;;;;;;x
crown_term_length_3_option;Long;Long;;;;;;;;;;;;x
crown_term_length_3_desc;Leaders hold power for ten years before a new leader must be elected.;Les dirigeants détiennent le pouvoir pendant dix ans avant qu'un autre ne puisse être élu.;;;;;;;;;;;;x
crown_term_length_4;No Term Limits;Pas de durée de mandat;;;;;;;;;;;;x
crown_term_length_4_option;Life;A vie;;;;;;;;;;;;x
crown_term_length_4_desc;Leaders hold power for life or until they are removed by a vote of no confidence..;Les dirigeants gardent le pouvoir à vie ou jusqu'à ce qu'ils soient démis de leurs fonctions…;;;;;;;;;;;;x
local_term_length;Term Length;Mandat;;;;;;;;;;;;x
local_term_length_desc;The length of time each leader holds power between elections.;La durée pendant la quelle le dirigeant détient le pouvoir entre deux éléctions.;;;;;;;;;;;;x
local_term_length_0;One Year Terms;Mandat de quatre ans;;;;;;;;;;;;x
local_term_length_0_option;Annual;Court;;;;;;;;;;;;x
local_term_length_0_desc;Elections are held every year.;Les dirigeants détiennent le pouvoir pendant quatre ans avant qu'un autre ne puisse être élu.;;;;;;;;;;;;x
local_term_length_1;Four Year Terms;Mandat de quatre ans;;;;;;;;;;;;x
local_term_length_1_option;Short;Court;;;;;;;;;;;;x
local_term_length_1_desc;Leaders hold power for four years before a new leader must be elected.;Les dirigeants détiennent le pouvoir pendant quatre ans avant qu'un autre ne puisse être élu.;;;;;;;;;;;;x
local_term_length_2;Six Year Terms;Mandat de six ans;;;;;;;;;;;;x
local_term_length_2_option;Medium;Moyen;;;;;;;;;;;;x
local_term_length_2_desc;Leaders hold power for six years before a new leader must be elected.;Les dirigeants détiennent le pouvoir pendant six ans avant qu'un autre ne puisse être élu.;;;;;;;;;;;;x
local_term_length_3;Ten Year Terms;Mandat de dix ans;;;;;;;;;;;;x
local_term_length_3_option;Long;Long;;;;;;;;;;;;x
local_term_length_3_desc;Leaders hold power for ten years before a new leader must be elected.;Les dirigeants détiennent le pouvoir pendant dix ans avant qu'un autre ne puisse être élu.;;;;;;;;;;;;x
local_term_length_4;No Term Limits;Pas de durée de mandat;;;;;;;;;;;;x
local_term_length_4_option;Life;A vie;;;;;;;;;;;;x
local_term_length_4_desc;Leaders hold power for life or until they are removed by a vote of no confidence..;Les dirigeants gardent le pouvoir à vie ou jusqu'à ce qu'ils soient démis de leurs fonctions…;;;;;;;;;;;;x
legislative_type;Type of Legislature;;;;;;;;;;;;x
legislative_type_desc;What kind of Legislature that exists.;;;;;;;;;;;;x
legislative_type_autocratic;Autocratic Council;;;;;;;;;;;;x
legislative_type_autocratic_option;Autocracy;;;;;;;;;;;;x
legislative_type_autocratic_desc;Although this state has a legislature, the ruler decide who are members of it.;;;;;;;;;;;;x
legislative_type_aristocratic;Aristocratic Senate;;;;;;;;;;;;x
legislative_type_aristocratic_option;Aristocracy;;;;;;;;;;;;x
legislative_type_aristocratic_desc;The members must be nobility or other kind of landed citizens, concentrating power in the hands of the few.;;;;;;;;;;;;x
legislative_type_democratic;Democratic Congress;;;;;;;;;;;;x
legislative_type_democratic_option;Democracy;;;;;;;;;;;;x
legislative_type_democratic_desc;The power is in the hands of the people, anyone can be elected.;;;;;;;;;;;;x
legislative_type_prolecratic;Prolecratic Soviet;;;;;;;;;;;;x
legislative_type_prolecratic_option;Prolecracy;;;;;;;;;;;;x
legislative_type_prolecratic_desc;The members of the Soviet must be chosen only among the common workers, landowners and nobility are not allowed.;;;;;;;;;;;;x
legislative_type_stratocratic;Stratocratic Junta;;;;;;;;;;;;x
legislative_type_stratocratic_option;Stratocracy;;;;;;;;;;;;x
legislative_type_stratocratic_desc;A form of legislature appropriate for military organizations, it is composed of active and retired officers, with civilians prohibited from even attending the sessions that are considered military secrets.;;;;;;;;;;;;x
public_order;Civil Order;;;;;;;;;;;;;x
public_order_desc;Whether or not the government is able to enforce its control over its subordinates. Civil Order is automatically set to Weak whenever a civil war or revolt breaks out against the government, and can only be restored to Strong by a sufficiently powerful government.;;;;;;;;;;;;;x
public_order_0;Weak Civil Order;;;;;;;;;;;;;x
public_order_0_option;Weak;;;;;;;;;;;;;x
public_order_0_desc;The government has little de facto control over its territory, and local governors are largely autonomous. Vassals may wage private wars within the realm and out of the realm, and local militias cannot be relied upon for support.;;;;;;;;;;;;;x
public_order_1;Mid Civil Order;;;;;;;;;;;;;x
public_order_1_option;Mid;;;;;;;;;;;;;x
public_order_1_desc;The government is steady. Vassals cannot wage autonomous wars within the realm, but can wage external wars.;;;;;;;;;;;;;x
public_order_2;Strong Civil Order;;;;;;;;;;;;;x
public_order_2_option;Strong;;;;;;;;;;;;;x
public_order_2_desc;The government is strong and steady. Vassals cannot wage autonomous wars within the realm, for fear of a swift and strong reprisal from the capital.;;;;;;;;;;;;;x
feudal_tax;Military Budget;;;;;;;;;;;;;x
feudal_tax_desc;Whether this government subsidizes or taxes its military vassals, and by how much.;;;;;;;;;;;;;x
feudal_tax_0;Heavy Military Spending;;;;;;;;;;;;;x
feudal_tax_0_option;High Sub;;;;;;;;;;;;;x
feudal_tax_0_desc;This government heavily subsidizes its military vassals.;;;;;;;;;;;;;x
feudal_tax_1;Light Military Spending;;;;;;;;;;;;;x
feudal_tax_1_option;Low Sub;;;;;;;;;;;;;x
feudal_tax_1_desc;This government lightly subsidizes its military vassals.;;;;;;;;;;;;;x
feudal_tax_2;No Military Budget;;;;;;;;;;;;;x
feudal_tax_2_option;Neutral;;;;;;;;;;;;;x
feudal_tax_2_desc;This government neither subsidizes nor taxes its military vassals.;;;;;;;;;;;;;x
feudal_tax_3;Light Military Taxes;;;;;;;;;;;;;x
feudal_tax_3_option;Low Tax;;;;;;;;;;;;;x
feudal_tax_3_desc;This government lightly taxes its military vassals.;;;;;;;;;;;;;x
feudal_tax_4;Heavy Military Taxes;;;;;;;;;;;;;x
feudal_tax_4_option;High Tax;;;;;;;;;;;;;x
feudal_tax_4_desc;This government heavily taxes its military vassals.;;;;;;;;;;;;;x
city_tax;Commerce Budget;;;;;;;;;;;;;x
city_tax_desc;Whether this government subsidizes or taxes commerce, and by how much.;;;;;;;;;;;;;x
city_tax_0;Heavy Commerce Spending;;;;;;;;;;;;;x
city_tax_0_option;High Sub;;;;;;;;;;;;;x
city_tax_0_desc;This government heavily subsidizes commerce.;;;;;;;;;;;;;x
city_tax_1;Light Commerce Spending;;;;;;;;;;;;;x
city_tax_1_option;Low Sub;;;;;;;;;;;;;x
city_tax_1_desc;This government lightly subsidizes commerce.;;;;;;;;;;;;;x
city_tax_2;No Commerce Budget;;;;;;;;;;;;;x
city_tax_2_option;Neutral;;;;;;;;;;;;;x
city_tax_2_desc;This government neither subsidizes nor taxes commerce.;;;;;;;;;;;;;x
city_tax_3;Light Commerce Taxes;;;;;;;;;;;;;x
city_tax_3_option;Low Tax;;;;;;;;;;;;;x
city_tax_3_desc;This government lightly taxes commerce.;;;;;;;;;;;;;x
city_tax_4;Heavy Commerce Taxes;;;;;;;;;;;;;x
city_tax_4_option;High Tax;;;;;;;;;;;;;x
city_tax_4_desc;This government heavily taxes commerce.;;;;;;;;;;;;;x
temple_tax;Admin Budget;;;;;;;;;;;;;x
temple_tax_desc;Whether this government subsidizes or taxes religious colonies, research centers, and administrative centers, and by how much.;;;;;;;;;;;;;x
temple_tax_0;Heavy Administrative Spending;;;;;;;;;;;;;x
temple_tax_0_option;High Sub;;;;;;;;;;;;;x
temple_tax_0_desc;This government heavily subsidizes religious colonies, research centers, and administrative centers.;;;;;;;;;;;;;x
temple_tax_1;Light Administrative Spending;;;;;;;;;;;;;x
temple_tax_1_option;Low Sub;;;;;;;;;;;;;x
temple_tax_1_desc;This government lightly subsidizes religious colonies, research centers, and administrative centers.;;;;;;;;;;;;;x
temple_tax_2;No Administrative Budget;;;;;;;;;;;;;x
temple_tax_2_option;Neutral;;;;;;;;;;;;;x
temple_tax_2_desc;This government neither subsidizes nor taxes religious colonies, research centers, and administrative centers.;;;;;;;;;;;;;x
temple_tax_3;Light Administrative Taxes;;;;;;;;;;;;;x
temple_tax_3_option;Low Tax;;;;;;;;;;;;;x
temple_tax_3_desc;This government lightly taxes religious colonies, research centers, and administrative centers.;;;;;;;;;;;;;x
temple_tax_4;Heavy Administrative Taxes;;;;;;;;;;;;;x
temple_tax_4_option;High Tax;;;;;;;;;;;;;x
temple_tax_4_desc;This government heavily taxes religious colonies, research centers, and administrative centers.;;;;;;;;;;;;;x
police_budget;Police Budget;;;;;;;;;;;;;x
police_budget_desc;The portion of your budget spent on enforcing the law and public order in your systems. Even notorious criminals occasionally find it necessary to hire public enforcers in order to keep some semblance of peace.;;;;;;;;;;;;;x
police_budget_0;No Police Spending;;;;;;;;;;;;;x
police_budget_0_desc;This government does not fund any sort of state police force, relying purely on local government to maintain law and order.;;;;;;;;;;;;;x
police_budget_0_option;None;;;;;;;;;;;;;x
police_budget_1;Low Police Spending;;;;;;;;;;;;;x
police_budget_1_desc;This government funds a light state police force, which enforces law and order in both major cities and interplanetary space.\nGrants the following effects in all owned, unoccupied systems:\n§Y*§! Local tax modifier -0.05\n§Y*§! Local revolt risk -0.1\n§Y*§! Civil unrest growth slowed to one half;;;;;;;;;;;;;x
police_budget_1_option;Low;;;;;;;;;;;;;x
police_budget_2;Moderate Police Spending;;;;;;;;;;;;;x
police_budget_2_desc;This government funds a sizable state police force, which enforces law and order in both major cities and interplanetary space.\nGrants the following effects in all owned, unoccupied systems:\n§Y*§! Local tax modifier -0.1\n§Y*§! Local revolt risk -0.2\n§Y*§! Civil unrest growth slowed to one quarter;;;;;;;;;;;;;x
police_budget_2_option;Med.;;;;;;;;;;;;;x
police_budget_3;High Police Spending;;;;;;;;;;;;;x
police_budget_3_desc;This government funds a large, well-equipped state police force, which spares no expense in enforcing the law.\nGrants the following effects in all owned, unoccupied systems:\n§Y*§! Local tax modifier -0.2\n§Y*§! Local revolt risk -0.3\n§Y*§! Civil unrest growth slowed to one eighth;;;;;;;;;;;;;x
police_budget_3_option;High;;;;;;;;;;;;;x
EVTDESCBUDGET10;The police force in the [This.GetName] System is no longer funded.;;;;;;;;;;;;;x
EVTDESCBUDGET20;The police force in the [This.GetName] System now receives low funding.;;;;;;;;;;;;;x
EVTDESCBUDGET30;The police force in the [This.GetName] System now receives moderate funding.;;;;;;;;;;;;;x
EVTDESCBUDGET40;The police force in the [This.GetName] System now receives high funding.;;;;;;;;;;;;;x
police_budget_mod_1;Small Police Force;;;;;;;;;;;;;x
police_budget_mod_1_desc;There is a small, lightly funded police force in this system, which enforces public order in major settlements and in interplanetary space.;;;;;;;;;;;;;x
police_budget_mod_2;Moderate Police Force;;;;;;;;;;;;;x
police_budget_mod_2_desc;There is a significant, well-funded police force in this system, which enforces public order in major settlements and in interplanetary space.;;;;;;;;;;;;;x
police_budget_mod_3;Large Police Force;;;;;;;;;;;;;x
police_budget_mod_3_desc;There is an enormous, extremely well-funded, and well equipped police force in this system, which enforces public order in major settlements and in interplanetary space.;;;;;;;;;;;;;x
health_care_budget;Health Care Budget;;;;;;;;;;;;;x
health_care_budget_desc;The portion of your budget spent on providing basic health care services to your citizens. Strong health care spending will allow a system to better resist exotic and alien diseases.;;;;;;;;;;;;x
health_care_budget_0;Privatized Health Care;;;;;;;;;;;;;x
health_care_budget_0_desc;This government lacks any public health care system, leaving matters entirely in the hands of the private sector.;;;;;;;;;;;;;x
health_care_budget_0_option;None;;;;;;;;;;;;;x
health_care_budget_1;Low Health Care Spending;;;;;;;;;;;;;x
health_care_budget_1_desc;This government funds a small state health care service.\nGrants the following effects in all owned, unoccupied systems:\n§Y*§! Local tax modifier -0.05\n§Y*§! Disease resistance 0.25;;;;;;;;;;;;;x
health_care_budget_1_option;Low;;;;;;;;;;;;;x
health_care_budget_2;Moderate Health Care Spending;;;;;;;;;;;;;x
health_care_budget_2_desc;This government funds a sizable state health care service.\nGrants the following effects in all owned, unoccupied systems:\n§Y*§! Local tax modifier -0.1\n§Y*§! Disease resistance 0.5;;;;;;;;;;;;;x
health_care_budget_2_option;Med.;;;;;;;;;;;;;x
health_care_budget_3;High Health Care Spending;;;;;;;;;;;;;x
health_care_budget_3_desc;This government funds a large state health care service, capable of easily responding to and neutralizing potential epidemics.\nGrants the following effects in all owned, unoccupied systems:\n§Y*§! Local tax modifier -0.2\n§Y*§! Disease resistance 0.75;;;;;;;;;;;;;x
health_care_budget_3_option;High;;;;;;;;;;;;;x
EVTDESCBUDGET110;Public health care in the [This.GetName] System is no longer funded.;;;;;;;;;;;;;x
EVTDESCBUDGET120;Public health care in the [This.GetName] System now receives low funding.;;;;;;;;;;;;;x
EVTDESCBUDGET130;Public health care in the [This.GetName] System now receives moderate funding.;;;;;;;;;;;;;x
EVTDESCBUDGET140;Public health care in the [This.GetName] System now receives high funding.;;;;;;;;;;;;;x
health_care_budget_mod_1;Small Public Health Service;;;;;;;;;;;;;x
health_care_budget_mod_1_desc;;;;;;;;;;;;;;x
health_care_budget_mod_2;Moderate Public Health Service;;;;;;;;;;;;;x
health_care_budget_mod_2_desc;;;;;;;;;;;;;;x
health_care_budget_mod_3;Large Public Health Service;;;;;;;;;;;;;x
health_care_budget_mod_3_desc;;;;;;;;;;;;;;x
education_budget;Education Budget;;;;;;;;;;;;;x
education_budget_desc;The portion of your budget spent on educating your citizens. A higher education budget will encourage the spread of scientific knowledge and technology.;;;;;;;;;;;;x
education_budget_0;Privatized Education;;;;;;;;;;;;;x
education_budget_0_desc;This government lacks any public education system, leaving matters entirely in the hands of the private sector.;;;;;;;;;;;;;x
education_budget_0_option;None;;;;;;;;;;;;;x
education_budget_1;Low Education Spending;;;;;;;;;;;;;x
education_budget_1_desc;This government provides basic education services to its citizens, but education is only lightly funded.\nGrants the following effects in all owned, unoccupied systems:\n§Y*§! Local tax modifier -0.05\n§Y*§! Tech growth modifier 0.05;;;;;;;;;;;;;x
education_budget_1_option;Low;;;;;;;;;;;;;x
education_budget_2;Moderate Education Spending;;;;;;;;;;;;;x
education_budget_2_desc;This government funds a sizable public education service.\nGrants the following effects in all owned, unoccupied systems:\n§Y*§! Local tax modifier -0.1\n§Y*§! Tech growth modifier 0.1;;;;;;;;;;;;;x
education_budget_2_option;Med.;;;;;;;;;;;;;x
education_budget_3;High Education Spending;;;;;;;;;;;;;x
education_budget_3_desc;This government funds one of the finest public education systems in known space.\nGrants the following effects in all owned, unoccupied systems:\n§Y*§! Local tax modifier -0.2\n§Y*§! Tech growth modifier 0.15;;;;;;;;;;;;;x
education_budget_3_option;High;;;;;;;;;;;;;x
EVTDESCBUDGET210;Education in the [This.GetName] System is no longer funded.;;;;;;;;;;;;;x
