#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
COUNCILLORS;Ministers;Conseillers;Ratsmitglieder;;Consejeros;;;;;;;;;x
count_foa;Mister Governor;Monsieur le gouverneur;Herr Gouverneur;;Señor Gobernador;;;;;;;;;x
count_foa_female;Madam Governor;Madame le gouverneur;Frau Gouverneur;Señora Gobernador;;;;;;;;;;x
count_title_ruler_consort;Governor's Spouse;Epoux;;;;;;;;;;;x
count_title_ruler_consort_female;Governor's Spouse;Dame;;;;;;;;;;;;x
county_of;Star System;Système stellaire;Sterne-System;;Sistema Estelar;;;;;;;;;x
county;System;Système;System;;Sistema;;;;;;;;;x
counties;Systems;Systèmes;Systeme;;Sistemas;;;;;;;;;x
baron;Governor;Gouverneur;Gouverneur;;Gobernador;;;;;;;;;x
baron_female;Governor;Gouverneur;Gouverneur;;Gobernador;;;;;;;;;x
baron_foa;Mister Governor;Monsieur le gouverneur;Herr Gouverneur;;Señor Gobernador;;;;;;;;;x
baron_foa_female;Madam Governor;Madame le gouverneur;Frau Gouverneur;Señora Gobernador;;;;;;;;;;x
baron_title_ruler_consort;Governor's Spouse;Epoux;;;;;;;;;;;x
baron_title_ruler_consort_female;Governor's Spouse;Dame;;;;;;;;;;;;x
barony_of;Planet;Planète;Planet;;Planeta;;;;;;;;;x
barony;Planet;Planète;Planet;;Planeta;;;;;;;;;x
baronies;Planets;Planètes;Planeten;;Planetas;;;;;;;;;x
military_emperor;Captain-General;Capitaine-Général;Generalkapitän;;Capitán-General;;;;;;;;;x
military_emperor_female;Captain-General;Capitaine-Général;Generalkapitän;;Capitán-General;;;;;;;;;x
military_emperor_foa;Captain-General;Capitaine-Général;Generalkapitän;;Capitán-General;;;;;;;;;x
military_emperor_foa_female;Captain-General;Capitaine-Général;Generalkapitän;;Capitán-General;;;;;;;;;x
military_emperor_title_ruler_consort;First Man;Epoux;;;;;;;;;;;x
military_emperor_title_ruler_consort_female;First Lady;Première dame;;;;;;;;;;;;x
military_empire_of;Hegemony of;Hégémonie de;Hegemonie;;Hegemonia de;;;;;;;;;x
military_empire;Confederation;Hégémonie;Hegemonie;;Hegemonia;;;;;;;;;x
military_empires;Confederations;Confédérations;Hegemonien;;Hegemonias;;;;;;;;;x
military_king;Grand Admiral;Grand amiral;Großadmiral;;Gran Almirante;;;;;;;;;x
military_king_female;Grand Admiral;Grande amirale;Großadmiral;;Gran Almirante;;;;;;;;;x
military_king_foa;Admiral;Amiral;Admiral;;Almirante;;;;;;;;;x
military_king_foa_female;Admiral;Amirale;Admiral;;Almirante;;;;;;;;;x
military_king_title_ruler_consort;First Man;Epoux;;;;;;;;;;;x
military_king_title_ruler_consort_female;First Lady;Première dame;;;;;;;;;;;;x
military_kingdom_of;Military State of;Etat militaire de;Militärstaat;;Estado Militar de;;;;;;;;;x
military_kingdom;Military State;Etat militaire;Militärstaat;;Estado Militar;;;;;;;;;x
military_kingdoms;Military States;Etats militaires;Militärstaaten;;Estados Militares;;;;;;;;;x
military_duke;Fleet Admiral;Amiral de flotte;Flottenadmiral;;Almirante de la Flota;;;;;;;;;x
military_duke_female;Fleet Admiral;Amirale de flotte;Flottenadmiral;;Almirante de la Flota;;;;;;;;;x
military_duke_foa;Admiral;Amiral;Admiral;;Almirante;;;;;;;;;x
military_duke_foa_female;Admiral;Amirale;Admiral;;Almirante;;;;;;;;;x
military_duke_title_ruler_consort;Admiral's Spouse;Epoux;;;;;;;;;;;x
military_duke_title_ruler_consort_female;Admiral's Spouse;Dame;;;;;;;;;;;;x
military_duchy_of;Defense Zone;Zone de défense;Verteidigung Zone;;Zona de defensa;;;;;;;;;x
military_duchy;Defense Zone;Zone de défense;Verteidigung Zone;;Zona de defensa;;;;;;;;;x
military_duchies;Defense Zones;Zones de défense;Sektorin;;Zonas de defensa;;;;;;;;;x
military_count;Counter-Admiral;Contre-Amiral;Konteradmiral;;Contralmirante;;;;;;;;;x
military_count_female;Counter-Admiral;Contre-Amiral;Konteradmiral;;Contralmirante;;;;;;;;;x
military_duke_foa;Admiral;Amiral;Admiral;;Almirante;;;;;;;;;x
military_duke_foa_female;Admiral;Amirale;Admiral;;Almirante;;;;;;;;;x
military_baron;Commandant;Commandante;Kommandant;;Commandante;;;;;;;;;x
military_baron_female;Commandant;Commandante;Kommandant;;Commandante;;;;;;;;;x
military_baron_foa;Commandant;Commandante;Kommandant;;Commandante;;;;;;;;;x
military_baron_foa_female;Commandant;Commandante;Kommandant;;Commandante;;;;;;;;;x
military_baron_title_ruler_consort;Commandant's Spouse;Epoux;;;;;;;;;;;x
military_baron_title_ruler_consort_female;Commandant's Spouse;Dame;;;;;;;;;;;;x
;;;;;;;;;;;;;;;
system_lordship_emperor;High System Lord;Capitaine-Général;Generalkapitän;;Capitán-General;;;;;;;;;x
system_lordship_emperor_female;High System Lord;Capitaine-Général;Generalkapitän;;Capitán-General;;;;;;;;;x
system_lordship_emperor_foa;High System Lord;Capitaine-Général;Generalkapitän;;Capitán-General;;;;;;;;;x
system_lordship_emperor_foa_female;High System Lord;Capitaine-Général;Generalkapitän;;Capitán-General;;;;;;;;;x
system_lordship_emperor_title_ruler_consort;Emperor;Epoux;;;;;;;;;;;x
system_lordship_emperor_title_ruler_consort_female;Emperess;Première dame;;;;;;;;;;;;x
system_lordship_empire_of;High Lordship of;Confédération de;Bund;;Confederación de;;;;;;;;;x
system_lordship_empire;High Lordship;Confédération;Bund;;Confederación;;;;;;;;;x
system_lordship_empires;High Lordships;Confédérations;Bunds;;Confederaciónes;;;;;;;;;x
system_lordship_king;System Lord;Grand amiral;Großadmiral;;Gran Almirante;;;;;;;;;x
system_lordship_king_female;System Lord;Grande amirale;Großadmiral;;Gran Almirante;;;;;;;;;x
system_lordship_king_foa;System Lord;Amiral;Admiral;;Almirante;;;;;;;;;x
system_lordship_king_foa_female;System Lord;Amirale;Admiral;;Almirante;;;;;;;;;x
system_lordship_king_title_ruler_consort;King;Epoux;;;;;;;;;;;x
system_lordship_king_title_ruler_consort_female;Queen;Première dame;;;;;;;;;;;;x
system_lordship_kingdom_of;System Lordship of;République de;Republik;;Republica de;;;;;;;;;x
system_lordship_kingdom;System Lordship;République;Republik;;República;;;;;;;;;x
system_lordship_kingdoms;System Lordships;Républiques;Republiken;;Repúblicas;;;;;;;;;x
system_lordship_duke;High Overlord;Amiral de flotte;Flottenadmiral;;Almirante de la Flota;;;;;;;;;x
system_lordship_duke_female;High Overlord;Amirale de flotte;Flottenadmiral;;Almirante de la Flota;;;;;;;;;x
system_lordship_duke_foa;High Overlord;Amiral;Admiral;;Almirante;;;;;;;;;x
system_lordship_duke_foa_female;High Overlord;Amirale;Admiral;;Almirante;;;;;;;;;x
system_lordship_duke_title_ruler_consort;High Overlord's Spouse;Epoux;;;;;;;;;;;x
system_lordship_duke_title_ruler_consort_female;High Overlord's Spouse;Dame;;;;;;;;;;;;x
system_lordship_count;Overlord;Contre-Amiral;Konteradmiral;;Contralmirante;;;;;;;;;x
system_lordship_count_female;Overlord;Contre-Amiral;Konteradmiral;;Contralmirante;;;;;;;;;x
system_lordship_duke_foa;Overlord;Amiral;Admiral;;Almirante;;;;;;;;;x
system_lordship_duke_foa_female;Overlord;Amirale;Admiral;;Almirante;;;;;;;;;x
system_lordship_baron;Master;Commandante;Kommandant;;Commandante;;;;;;;;;x
system_lordship_baron_female;Master;Commandante;Kommandant;;Commandante;;;;;;;;;x
system_lordship_baron_foa;Master;Commandante;Kommandant;;Commandante;;;;;;;;;x
system_lordship_baron_foa_female;Master;Commandante;Kommandant;;Commandante;;;;;;;;;x
system_lordship_baron_title_ruler_consort;Master's Spouse;Epoux;;;;;;;;;;;x
system_lordship_baron_title_ruler_consort_female;Master's Spouse;Dame;;;;;;;;;;;;x
;;;;;;;;;;;;;;;
military_republic_emperor;Captain-General;Capitaine-Général;Generalkapitän;;Capitán-General;;;;;;;;;x
military_republic_emperor_female;Captain-General;Capitaine-Général;Generalkapitän;;Capitán-General;;;;;;;;;x
military_republic_emperor_foa;Captain-General;Capitaine-Général;Generalkapitän;;Capitán-General;;;;;;;;;x
military_republic_emperor_foa_female;Captain-General;Capitaine-Général;Generalkapitän;;Capitán-General;;;;;;;;;x
military_republic_emperor_title_ruler_consort;First Man;Epoux;;;;;;;;;;;x
military_republic_emperor_title_ruler_consort_female;First Lady;Première dame;;;;;;;;;;;;x
military_republic_empire_of;Confederation of;Confédération de;Bund;;Confederación de;;;;;;;;;x
military_republic_empire;Confederation;Confédération;Bund;;Confederación;;;;;;;;;x
military_republic_empires;Confederations;Confédérations;Bunds;;Confederaciónes;;;;;;;;;x
military_republic_king;Grand Admiral;Grand amiral;Großadmiral;;Gran Almirante;;;;;;;;;x
military_republic_king_female;Grand Admiral;Grande amirale;Großadmiral;;Gran Almirante;;;;;;;;;x
military_republic_king_foa;Admiral;Amiral;Admiral;;Almirante;;;;;;;;;x
military_republic_king_foa_female;Admiral;Amirale;Admiral;;Almirante;;;;;;;;;x
military_republic_king_title_ruler_consort;First Man;Epoux;;;;;;;;;;;x
military_republic_king_title_ruler_consort_female;First Lady;Première dame;;;;;;;;;;;;x
military_republic_kingdom_of;Republic of;République de;Republik;;Republica de;;;;;;;;;x
military_republic_kingdom;Republic;République;Republik;;República;;;;;;;;;x
military_republic_kingdoms;Republics;Républiques;Republiken;;Repúblicas;;;;;;;;;x
military_republic_duke;Fleet Admiral;Amiral de flotte;Flottenadmiral;;Almirante de la Flota;;;;;;;;;x
military_republic_duke_female;Fleet Admiral;Amirale de flotte;Flottenadmiral;;Almirante de la Flota;;;;;;;;;x
military_republic_duke_foa;Admiral;Amiral;Admiral;;Almirante;;;;;;;;;x
military_republic_duke_foa_female;Admiral;Amirale;Admiral;;Almirante;;;;;;;;;x
military_republic_duke_title_ruler_consort;Admiral's Spouse;Epoux;;;;;;;;;;;x
military_republic_duke_title_ruler_consort_female;Admiral's Spouse;Dame;;;;;;;;;;;;x
military_republic_count;Counter-Admiral;Contre-Amiral;Konteradmiral;;Contralmirante;;;;;;;;;x
military_republic_count_female;Counter-Admiral;Contre-Amiral;Konteradmiral;;Contralmirante;;;;;;;;;x
military_republic_duke_foa;Admiral;Amiral;Admiral;;Almirante;;;;;;;;;x
military_republic_duke_foa_female;Admiral;Amirale;Admiral;;Almirante;;;;;;;;;x
military_republic_baron;Commandant;Commandante;Kommandant;;Commandante;;;;;;;;;x
military_republic_baron_female;Commandant;Commandante;Kommandant;;Commandante;;;;;;;;;x
military_republic_baron_foa;Commandant;Commandante;Kommandant;;Commandante;;;;;;;;;x
military_republic_baron_foa_female;Commandant;Commandante;Kommandant;;Commandante;;;;;;;;;x
military_republic_baron_title_ruler_consort;Commandant's Spouse;Epoux;;;;;;;;;;;x
military_republic_baron_title_ruler_consort_female;Commandant's Spouse;Dame;;;;;;;;;;;;x
monarchy_emperor;Emperor;Empereur;Kaiser;;Emperador;;;;;;;;;x
monarchy_emperor_female;Empress;Impératrice;Kaiserin;;Emperatriz;;;;;;;;;x
monarchy_emperor_title_ruler_consort;Emperor;Empereur;Kaiser;;Emperador;;;;;;;;;x
monarchy_emperor_title_ruler_consort_female;Empress;Impératrice;Kaiserin;;Emperatriz;;;;;;;;;x
monarchy_emperor_foa;Your Imperial Majesty;Votre Majesté Impériale;Eure Kaiserliche Majestät;;Su Majestad Imperial;;;;;;;;;x
monarchy_emperor_foa_female;Your Imperial Majesty;Votre Majesté Impériale;Eure Kaiserliche Majestät;;Su Majestad Imperial;;;;;;;;;x
monarchy_empire_of;Star Empire of;Empire Stellaire de;Sternenreich von;;Imperio Estelar de;;;;;;;;;x
monarchy_empire;Empire;Empire;Reich;;Imperio;;;;;;;;;x
monarchy_empires;Empires;Empires;Reiche;;Imperios;;;;;;;;;x
monarchy_king;King;Roi;König;;Rey;;;;;;;;;x
monarchy_king_female;Queen;Reine;Königin;;Reina;;;;;;;;;x
monarchy_king_title_ruler_consort;King;Roi;König;;Rey;;;;;;;;;x
monarchy_king_title_ruler_consort_female;Queen;Reine;Königin;;Reina;;;;;;;;;x
monarchy_king_foa;Your Majesty;Votre Majesté;Eure Majestät;;Su Majestad;;;;;;;;;x
monarchy_king_foa_female;Your Majesty;Votre Majesté;Eure Majestät;;Su Majestad;;;;;;;;;x
monarchy_kingdom_of;Star Kingdom of;Royaume stellaire de;Sternenkönigreich von;;Reino Estelar;;;;;;;;;x
monarchy_kingdom;Kingdom;Royaume;Königreich;;Reino;;;;;;;;;x
monarchy_kingdoms;Kingdoms;Royaumes;Königreiche;;Reinos;;;;;;;;;x
monarchy_duke;Duke;Duc;Herzog;;Duque;;;;;;;;;x
monarchy_duke_female;Duchess;Duchesse;Herzogin;;Duquesa;;;;;;;;;x
monarchy_duke_title_ruler_consort;Duke;Duc;Herzog;;Duque;;;;;;;;;x
monarchy_duke_title_ruler_consort_female;Duchess;Duchesse;Herzogin;;Duquesa;;;;;;;;;x
monarchy_duke_foa;Your Grace;Votre Grâce;Euer Gnaden;;Su Gracia;;;;;;;;;x
monarchy_duke_foa_female;Your Grace;Votre Grâce;Euer Gnaden;;Su Gracia;;;;;;;;;x
monarchy_count;Count;Comte;Graf;;Conde;;;;;;;;;x
monarchy_count_female;Countess;Comtesse;Gräfin;;Condesa;;;;;;;;;x
monarchy_count_title_ruler_consort;Count;Comte;Graf;;Conde;;;;;;;;;x
monarchy_count_title_ruler_consort_female;Countess;Comtesse;Gräfin;;Condesa;;;;;;;;;x
monarchy_count_foa;My Lord;Monseigneur;Mein Fürst;;Mi Señor;;;;;;;;;x
monarchy_count_foa_female;My Lady;Madame;Meine Fürstin;;Mi Señora;;;;;;;;;x
monarchy_baron;Baron;Baron;Baron;;Barón;;;;;;;;;x
monarchy_baron_female;Baroness;Baronne;Baroness;;Baronesa;;;;;;;;;x
monarchy_baron_title_ruler_consort;Baron;Baron;Baron;;Barón;;;;;;;;;x
monarchy_baron_title_ruler_consort_female;Baroness;Baronne;Baroness;;Baronesa;;;;;;;;;x
monarchy_baron_foa;My Lord;Monseigneur;Mein Fürst;;Mi Señor;;;;;;;;;x
monarchy_baron_foa_female;My Lady;Madame;Meine Fürstin;;Mi Señora;;;;;;;;;x
monarchy_emperor_bio_directionist;Inheritor;;;;;;;;;x
monarchy_emperor_female_bio_directionist;Inheritor;;;;;;;;;x
monarchy_emperor_foa_bio_directionist;Inheritor;;;;;;;;;;;;;x
monarchy_emperor_foa_female_bio_directionist;Inheritor;;;;;;;;;;;;;x
monarchy_empire_of_bio_directionist;Dominion of;;;;;;;;;;;;;x
monarchy_empire_bio_directionist;Dominion;;;;;;;;;;;;;x
monarchy_empires_bio_directionist;Dominions;;;;;;;;;;;;;x
monarchy_king_bio_directionist;Director-General;;;;;;;;;;;;;x
monarchy_king_female_bio_directionist;Director-General;;;;;;;;;;;;;x
monarchy_king_foa_bio_directionist;Director;;;;;;;;;;;;x;
monarchy_king_foa_female_bio_directionist;Director;;;;;;;;;;;;;x
monarchy_kingdom_of_bio_directionist;State of;;;;;;;;;;;;;x
monarchy_kingdom_bio_directionist;State;;;;;;;;;;;;;x
monarchy_kingdoms_bio_directionist;States;;;;;;;;;;;;;x
monarchy_duke_bio_directionist;Director;;;;;;;;;;;;;x
monarchy_duke_female_bio_directionist;Director;;;;;;;;;;;;;x
monarchy_duke_foa_bio_directionist;Director;;;;;;;;;;;;;x
monarchy_duke_foa_female_bio_directionist;Director;;;;;;;;;;;;;x
monarchy_count_bio_directionist;Overseer;;;;;;;;;;;;;x
monarchy_count_female_bio_directionist;Overseer;;;;;;;;;;;;;x
monarchy_count_foa_bio_directionist;Overseer;;;;;;;;;;;;;x
monarchy_count_foa_female_bio_directionist;Overseer;;;;;;;;;;;;;x
monarchy_baron_bio_directionist;Governor;;;;;;;;;;;;;x
monarchy_baron_female_bio_directionist;Governor;;;;;;;;;;;;;x
monarchy_baron_foa_bio_directionist;Governor;;;;;;;;;;;;;x
monarchy_baron_foa_female_bio_directionist;Governor;;;;;;;;;;;;;x
temple_emperor;Director-General;Directeur-Général;;;;;;;;;;;;x
temple_emperor_female;Director-General;Directrice-Général;;;;;;;;;;;;x
temple_emperor_foa;Director-General;Monsieur le directeur-général;;;;;;;;;;;;x
temple_emperor_foa_female;Director-General;Madame la directrice-général;;;;;;;;;;;;x
temple_emperor_title_ruler_consort;First Man;Epoux;;;;;;;;;;;x
temple_emperor_title_ruler_consort_female;First Lady;Première dame;;;;;;;;;;;;x
temple_empire_of;Grand Directorate of;Grand directorat de;;;;;;;;;;;;x
temple_empire;Grand Directorate;Grand directorat;;;;;;;;;;;;x
temple_empires;Grand Directorates;Grands directorats;;;;;;;;;;;;x
temple_king;Director-General;Directeur-Général;;;;;;;;;;;;x
temple_king_female;Director-General;Directrice-Général;;;;;;;;;;;;x
temple_king_foa;Director-General;Directeur-Général;;;;;;;;;;;;x
temple_king_foa_female;Director-General;Directrice-Général;;;;;;;;;;;;x
temple_king_title_ruler_consort;First Man;Epoux;;;;;;;;;;;x
temple_king_title_ruler_consort_female;First Lady;Première dame;;;;;;;;;;;;x
temple_kingdom_of;Directorate of;Directorat de;;;;;;;;;;;;x
temple_kingdom;Directorate;Directorat;;;;;;;;;;;;x
temple_kingdoms;Directorates;Directorats;;;;;;;;;;;;x
temple_duke;High Commissioner;Haut commissionneur;;;;;;;;;;;;x
temple_duke_female;High Commissioner;Haute commissionneuse;;;;;;;;;;;;x
temple_duke_foa;Commissioner;Commissionneur;;;;;;;;;;;;x
temple_duke_foa_female;Commissioner;Commissionneuse;;;;;;;;;;;;x
temple_duke_title_ruler_consort;Commissioner's Spouse;Epoux;;;;;;;;;;;x
temple_duke_title_ruler_consort_female;Commissioner's Spouse;Dame;;;;;;;;;;;;x
temple_count;Commissioner;Commissionneur;;;;;;;;;;;;x
temple_count_female;Commissioner;Commissionneuse;;;;;;;;;;;;x
temple_count_foa;Commissioner;Commissionneur;;;;;;;;;;;;x
temple_count_foa_female;Commissioner;Commissionneuse;;;;;;;;;;;;x
temple_count_title_ruler_consort;Commissioner's Spouse;Epoux;;;;;;;;;;;x
temple_count_title_ruler_consort_female;Commissioner's Spouse;Dame;;;;;;;;;;;;x
temple_baron;Administrator;Administrateur;;;;;;;;;;;;x
temple_baron_female;Administrator;Administratrice;;;;;;;;;;;;x
temple_baron_foa;Administrator;Administrateur;;;;;;;;;;;;x
temple_baron_foa_female;Administrator;Administratrice;;;;;;;;;;;;x
temple_baron_title_ruler_consort;Administrator's Spouse;Epoux;;;;;;;;;;;x
temple_baron_title_ruler_consort_female;Administrator's Spouse;Dame;;;;;;;;;;;;x
PALACE_NAME;$DYNASTY$ Corporation;Corporation $DYNASTY$;;;;;;;;;;;;x
family_palace;Corporation;Corporation;;;;;;;;;;;;x
family_palace_baron;CEO;PDG;;;;;;;;;;;;x
family_palace_baron_female;CEO;PDG;;;;;;;;;;;;x
family_palace_baron_foa;Sir;Monsieur;;;;;;;;;;;;x
family_palace_baron_foa_female;Ma;Madame;;;;;;;;;;;;;x
family_palace_barony_of;Headquarters of;Quartier général de;;;;;;;;;;;;x
family_palace_baron_deed;Chair of;Président de;;;;;;;;;;;;x
tribal_emperor;President;Capitaine-Général;;;;;;;;;;;;x
tribal_emperor_female;President;Capitaine-Général;;;;;;;;;;;;x
tribal_emperor_foa;President;Capitaine-Général;;;;;;;;;;;;x
tribal_emperor_foa_female;President;Capitaine-Général;;;;;;;;;;;;x
tribal_emperor_title_ruler_consort;First Man;Epoux;;;;;;;;;;;x
tribal_emperor_title_ruler_consort_female;First Lady;Première dame;;;;;;;;;;;;x
tribal_empire_of;United Colonies of;Confédération de;;;;;;;;;;;;x
tribal_empire;Union;Confédération;;;;;;;;;;;;x
tribal_empires;Unions;Confédérations;;;;;;;;;;;;x
tribal_king;Governor-General;Grand amiral;;;;;;;;;;;;x
tribal_king_female;Governor-General;Grande amirale;;;;;;;;;;;;x
tribal_king_foa;Governor;Amiral;;;;;;;;;;;;x
tribal_king_foa_female;Governor;Amirale;;;;;;;;;;;;x
tribal_king_title_ruler_consort;First Man;Epoux;;;;;;;;;;;x
tribal_king_title_ruler_consort_female;First Lady;Première dame;;;;;;;;;;;;x
tribal_kingdom_of;Dominion of;République de;;;;;;;;;;;;x
tribal_kingdom;Dominion;République;;;;;;;;;;;;x
tribal_kingdoms;Dominions;Républiques;;;;;;;;;;;;x
tribal_duke;Colonial Governor;Amiral de flotte;;;;;;;;;;;;x
tribal_duke_female;Colonial Governor;Amirale de flotte;;;;;;;;;;;;x
tribal_duke_foa;Governor;Amiral;;;;;;;;;;;;x
tribal_duke_foa_female;Governor;Amirale;;;;;;;;;;;;x
tribal_duke_title_ruler_consort;Governor's Spouse;Epoux;;;;;;;;;;;x
tribal_duke_title_ruler_consort_female;Governor's Spouse;Dame;;;;;;;;;;;;x
tribal_duchy_of;Colonial Sector;Secteur;;;;;;;;;;;;x
tribal_duchy;Colonial Sector;Secteur;;;;;;;;;;;;x
tribal_duchies;Colonial Sectors;Secteurs;;;;;;;;;;;;x
tribal_count;Colonial Magistrate;Commandant;;;;;;;;;;;;x
tribal_count_female;Colonial Magistrate;Commandante;;;;;;;;;;;;x
tribal_count_foa;Magistrate;Commandant;;;;;;;;;;;;x
tribal_count_foa_female;Magistrate;Commandante;;;;;;;;;;;;x
tribal_count_title_ruler_consort;Magistrate's Spouse;Epoux;;;;;;;;;;;x
tribal_count_title_ruler_consort_female;Magistrate's Spouse;Dame;;;;;;;;;;;;x
tribal_county_of;Star System;Système stellaire;;;;;;;;;;;;x
tribal_county;System;Système;;;;;;;;;;;;x
tribal_counties;Systems;Systèmes;;;;;;;;;;;;x
tribal_baron;Colonial Magistrate;Commandant;;;;;;;;;;;;x
tribal_baron_female;Colonial Magistrate;Commandante;;;;;;;;;;;;x
tribal_baron_foa;Magistrate;Commandant;;;;;;;;;;;;x
tribal_baron_foa_female;Magistrate;Commandante;;;;;;;;;;;;x
tribal_baron_title_ruler_consort;Magistrate's Spouse;Epoux;;;;;;;;;;;x
tribal_baron_title_ruler_consort_female;Magistrate's Spouse;Dame;;;;;;;;;;;;x
tribal_barony_of;Colony of;Planète;;;;;;;;;;;;x
tribal_barony;Colony;Planète;;;;;;;;;;;;x
tribal_baronies;Colonies;Planètes;;;;;;;;;;;;x
emperor_neo_socialist;First Chairman;;;;;;;;;;;;;x
emperor_female_neo_socialist;First Chairwoman;;;;;;;;;;;;;x
emperor_foa_neo_socialist;Comrade Chairman;;;;;;;;;;;;;x
emperor_foa_female_neo_socialist;Comrade Chairwoman;;;;;;;;;;;;;x
empire_of_neo_socialist;People's Union of;;;;;;;;;;;;;x
empire_neo_socialist;Union;;;;;;;;;;;;;x
empires_neo_socialist;Unions;;;;;;;;;;;;;x
king_neo_socialist;Chairman;;;;;;;;;;;;;x
king_female_neo_socialist;Chairwoman;;;;;;;;;;;;;x
king_foa_neo_socialist;Comrade Chairman;;;;;;;;;;;;;x
king_foa_female_neo_socialist;Comrade Chairwoman;;;;;;;;;;;;;x
kingdom_of_neo_socialist;People's Republic of;;;;;;;;;;;;;x
kingdom_neo_socialist;Republic;;;;;;;;;;;;;x
kingdoms_neo_socialist;Republics;;;;;;;;;;;;;x
military_emperor_neo_socialist;Captain-General;;;;;;;;;;;;;x
military_emperor_female_neo_socialist;Captain-General;;;;;;;;;;;;;x
military_emperor_foa_neo_socialist;Comrade Captain;;;;;;;;;;;;;x
military_emperor_foa_female_neo_socialist;Comrade Captain;;;;;;;;;;;;;x
military_empire_of_neo_socialist;People's Revolutionary Union of;;;;;;;;;;;;;x
military_empire_neo_socialist;Union;;;;;;;;;;;;;x
military_empires_neo_socialist;Unions;;;;;;;;;;;;;x
military_king_neo_socialist;Chairman;;;;;;;;;;;;;x
military_king_female_neo_socialist;Chairwoman;;;;;;;;;;;;;x
military_king_foa_neo_socialist;Comrade Chairman;;;;;;;;;;;;;x
military_king_foa_female_neo_socialist;Comrade Chairwoman;;;;;;;;;;;;;x
military_kingdom_of_neo_socialist;People's Revolutionary State of;;;;;;;;;;;;;x
military_kingdom_neo_socialist;State;;;;;;;;;;;;;x
military_kingdoms_neo_socialist;States;;;;;;;;;;;;;x
military_duke_foa_neo_socialist;Comrade Admiral;;;;;;;;;;;;;x
military_duke_foa_female_neo_socialist;Comrade Admiral;;;;;;;;;;;;;x
military_count_foa_neo_socialist;Comrade Admiral;;;;;;;;;;;;;x
military_count_foa_female_neo_socialist;Comrade Admiral;;;;;;;;;;;;;x
military_baron_foa_neo_socialist;Comrade Commandant;;;;;;;;;;;;;x
military_baron_foa_female_neo_socialist;Comrade Commandant;;;;;;;;;;;;;x
temple_emperor_neo_socialist;Secretary-General;;;;;;;;;;;;;x
