#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
real_insult;Insulted;Insulté;;;Insultado;;;;;;;;;x
insult_character_desc;Send an insulting letter to [Root.GetTitle] [Root.GetFirstNameWithDynasty] to lower [Root.GetHerHis] opinion of you.;Envoyer une insulte à votre [Root.GetTitle] [Root.GetFirstNameWithDynasty] pour réduire son opinion à votre égard.;;;Insultar a [Root.GetTitle] [Root.GetFirstNameWithDynasty] para reducir la opinión que tiene de ti.;;;;;;;;;x
EVTOPTAinteraction.23;Thanks!;Merci!;;;Gracias!;;;;;;;;;x
EVTOPTAinteraction.24;That [GetRootFromInsult] dares to address me so?;Comment ose [Root.GetHerHim] m'insulter?;;;Ese [GetRootFromInsult] se atreve a dirigirme la palabra?;;;;;;;;;x
EVTOPTB453;Is this an honorable thing to do?;Est-ce vraiment une action honorable?;;;Esto es honorable?;;;;;;;;;x
visit_chambers;Visit Chambers;Visiter la chambre;;;Visitar cámaras;;;;;;;;;x
visit_chambers_desc;Visit [Root.GetTitle] [Root.GetFirstNameWithDynasty]'s chambers, and attempt to seduce [Root.GetHerHim].;Visiter la chambre de [Root.GetTitle] [Root.GetFirstNameWithDynasty] et tenter de [Root.GetHerHim] séduire.;;;Visitar la cámara de [Root.GetTitle] [Root.GetFirstNameWithDynasty] e intentar seducirla.;;;;;;;;;x
TOOLTIPVISITCHAMBERCHILD;[Root.GetFirstName] is NOT a grandparent, parent, child or grandchild of [From.GetTitle] [From.GetFirstName]\n;[Root.GetFirstName] n'est PAS un grand-parent, un parent, un enfant ou un petit-enfant de [From.GetTitle] [From.GetFirstName]\n;;;[Root.GetFirstName] NO es un abuelo, un padre, un niño o un nieto de [From.GetTitle] [From.GetFirstName]\n;;;;;;;;;x
TOOLTIPVISITCHAMBERDIVINEBLOOD;The [From.GetOnlyDynastyName] dynasty practice divine blood incest\n;La dynastie des [From.GetOnlyDynastyName] pratique l'inceste de sang divin\n;;;La casa [From.GetOnlyDynastyName] practica el incesto\n;;;;;;;;;x
TOOLTIPSEDUCELOCATION;[Root.GetFirstName] is located in [From.Location.GetName], AND [From.Location.GetName] is owned by [From.GetFirstName] or [Root.GetFirstName] OR [From.GetFirstName] is NOT in command\n;[Root.GetFirstName] se trouve à [From.Location.GetName], ET [From.Location.GetName] est détenu(e) par [From.GetFirstName] ou [Root.GetFirstName] OU [From.GetFirstName] n'est pas en train de commander\n;;;[Root.GetFirstName] está en [From.Location.GetName], Y [From.Location.GetName] es propiedad de [From.GetFirstName] o [Root.GetFirstName] O [From.GetFirstName] NO está al mando\n;;;;;;;;;x
TOOLTIPVISITCOMMANDLOCATION;[From.Location.GetName] is owned by [From.GetFirstName] or [Root.GetFirstName]\n;[From.Location.GetName] est détenu(e) par [From.GetFirstName] ou [Root.GetFirstName]\n;;;[From.Location.GetName] es propiedad de [From.GetFirstName] o [Root.GetFirstName]\n;;;;;;;;;x
TOOLTIPVISITCHAMBERORIENTATION;[Root.GetFirstName] is desirable for [From.GetFirstName]'s sexual orientation\n;Le sexe de [Root.GetFirstName] est compatible avec les orientations sexuelles de [From.GetFirstName]\n;;;El sexo de [Root.GetFirstName] es compatible con la orientación sexual de [From.GetFirstName]\n;;;;;;;;;x
TOOLTIPVISITCHAMBERPRISONER;If [Root.GetFirstName] is [From.GetFirstName]'s prisoner, [From.GetFirstName] must NOT be kind or honorable\n;Si [Root.GetFirstName] est le(a) prisonnier(e) de [From.GetFirstName], [From.GetFirstName] ne doit PAS être gentil/aimable ou honorable\n;;;Si [Root.GetFirstName] es prisionero de [From.GetFirstName], [From.GetFirstName] no puede ser amable u honorable\n;;;;;;;;;x
TOOLTIPinteraction.26;[Root.GetFirstName] will respond to your advance;[Root.GetFirstName] va réagir à vos avances;;;[Root.GetFirstName] reaccionará a tus insinuaciones;;;;;;;;;x
EVTDESCinteraction.26;I awaken to the sound of my door creaking open... It's [visiting_chambers.GetTitledFirstNameNoRegnal]!;Je suis réveillé par le bruit de la porte qui s'ouvre… C'est [FromFrom.GetTitle] [FromFrom.GetFirstName]!;;;Me desperté por el sonido de la puerta abriéndose... Es [FromFrom.GetTitle] [FromFrom.GetFirstName]!;;;;;;;;;x
knight_character;Grant a Knighthood;Adouber;;;Armar Caballero;;;;;;;;;x
knight_character_desc;As an anointed knight you have the power to grant [Root.GetTitle] [Root.GetFirstNameWithDynasty] a knighthood;En tant que chevalier oint, vous avez la possibilité d'adouber [Root.GetTitle] [Root.GetFirstNameWithDynasty];;;Como caballero ungido, tienes la posibilidad de armar caballero a [Root.GetTitle] [Root.GetFirstNameWithDynasty];;;;;;;;;x
EVTDESCinteraction.22;You have been knighted by [FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty];Vous avez été fait chevalier par [FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty];;;Has sido armado caballero por [From.GetTitle] [From.GetFirstNameWithDynasty];;;;;;;;;x
EVTOPTAinteraction.22;Thank you!;Merci!;;;Gracias!;;;;;;;;;x
stand_down;Command to End War;Ordonner de mettre fin à la guerre;;;Ordenar poner fin a la guerra;;;;;;;;;x
stand_down_desc;Send a letter to [Root.GetTitle] [Root.GetFirstNameWithDynasty] commanding them to end a war of aggression against another of your bannermen.;Envoyer une lettre à [Root.GetTitle] [Root.GetFirstNameWithDynasty] lui ordonnant de mettre fin à une guerre d’agression contre un autre de vos bannerets.;;;Enviar una carta a [Root.GetTitle] [Root.GetFirstNameWithDynasty] ordenándole poner fin a la guerra de agresión contra otro de tus vasallos.;;;;;;;;;x
TOOLTIPstand_downCOUNCIL;[From.GetTitledFirstName]'s council does NOT have the right to vote on diplomatic matters\n;Le conseil de [From.GetTitledFirstName] n'a pas le droit de voter sur des sujets diplomatiques\n;;;El Consejo de [From.GetTitledFirstName] no tiene derecho de voto sobre asuntos diplomáticos\n;;;;;;;;;x
TOOLTIPstand_downCOUNCILCOOLDOWN;The council has NOT recently voted on whether to issue a command to [Root.GetTitledFirstName]\n;Le conseil n'a pas récemment voté sur l'envoi d'un ordre à [Root.GetTitledFirstName]\n;;;El Consejo no ha votado recientemente sobre el envío de una orden a [Root.GetTitledFirstName]\n;;;;;;;;;x
TOOLTIPstand_downASKED;[Root.GetTitledFirstName] has NOT recently been issued a command\n;[Root.GetTitledFirstName] n'a pas reçu récemment d'ordre\n;;;[Root.GetTitledFirstName] no ha recibido recientemente una orden\n;;;;;;;;;x
TOOLTIPstand_downPRISONER;[Root.GetTitledFirstName] is a prisoner of [From.GetTitledFirstName]\n;[Root.GetTitledFirstName] est prisonnier de [From.GetTitledFirstName]\n;;;[Root.GetTitledFirstName] es prisionero de [From.GetTitledFirstName]\n;;;;;;;;;x
TOOLTIPstand_downVOTE;§YThe Council§! will vote on whether to send the command to [This.GetTitle] [This.GetFirstName]\n;§YThe Council§! Votera pour savoir si un ordre doit être envoyé à [This.GetTitle] [This.GetFirstName]\n;;;§YThe Council§! votará para saber si una órden debe ser enviada a [This.GetTitle] [This.GetFirstName]\n;;;;;;;;;x
TOOLTIPPIinteraction.10;Due to the level of realm authority in [From.PrimaryTitle.GetName], this command will be legally binding. This means you will have the power to brand [Root.GetTitle] [Root.GetFirstNameWithDynasty] a traitor if they refuse.\n\n;Étant donné le niveau d'autorité du royaume de [From.PrimaryTitle.GetName], cet ordre n'est pas discutable. Cela veut dire qu'en cas de refus, vous pouvez déclarer [Root.GetTitle] [Root.GetFirstNameWithDynasty] comme traître;;;Dado el nivel de autoridad de la corona de [From.PrimaryTitle.GetName], esta orden no es discutible. Esto quiere decir que en caso de negativa, podrás declarar a [Root.GetTitle] [Root.GetFirstNameWithDynasty] como un traidor.;;;;;;;;;x
TOOLTIPPIinteraction.11;Due to the level of realm authority in [From.PrimaryTitle.GetName], this command will NOT be legally binding. This means [Root.GetTitle] [Root.GetFirstNameWithDynasty] can ignore your request without any legal consequence.\n\n;Étant donné le niveau d'autorité du royaume de [From.PrimaryTitle.GetName], cet ordre n'est pas légal. Cela veut dire que [Root.GetTitle] [Root.GetFirstNameWithDynasty] peut l'ignorer sans aucune conséquence légale.;;;Dado el nivel de autoridad de la corona de [From.PrimaryTitle.GetName], esta orden no es legal. Esto quiere decir que [Root.GetTitle] [Root.GetFirstNameWithDynasty] puede ignorarla sin ninguna consecuencia legal.;;;;;;;;;x
appoint_to_kingsguard;Appoint to Kingsguard ;Nommer à la Garde Royale;;;Asignar a la Guardia Real;;;;;;;;;x
appoint_to_kingsguard_desc;The Kingsguard needs seven members, offer a spare place amongst the order to [Root.GetTitle] [Root.GetFirstNameWithDynasty].;La Garde Royale a besoin de sept membres, offrez une place vacante à [Root.GetTitle] [Root.GetFirstNameWithDynasty].;;;La Guardia Real necesita siete miembros, ofrece una plaza vacante a [Root.GetTitle] [Root.GetFirstNameWithDynasty].;;;;;;;;;x
TOOLTIPkingsguardNEEDED;A place on the Kingsguard is vacant\n;Une place est libre dans la Garde Royale\n;;;Una plaza está libre en la Guardia Real\n;;;;;;;;;x
TOOLTIPinteraction.7;will respond to your offer;va répondre à votre offre;;;responderá a tu oferta;;;;;;;;;x
grant_lp;Grant [Root.PrimaryTitle.Kingdom.GetFullName];Octroyer la seigneurie suzeraine;;;Otorgar [Root.PrimaryTitle.Kingdom.GetFullName];;;;;;;;;x
grant_lp_desc;The [Root.PrimaryTitle.Kingdom.GetFullName] currently has no incumbent separate from the Crown. Grant this title to [Root.GetTitle] [Root.GetFirstNameWithDynasty] and make [Root.GetHerHim] overlord of the region.;La seigneurie suzeraine de [Root.PrimaryTitle.GetName] n'a pour le moment aucun titulaire. Octroyez ce titre à [Root.GetTitle] [Root.GetFirstNameWithDynasty] et en faire le suzerain de la région.;;;El [Root.PrimaryTitle.Kingdom.GetFullName] no pertenece a nadie por el momento. Otorga este título a [Root.GetTitle] [Root.GetFirstNameWithDynasty] y hazlo el soberano de la región.;;;;;;;;;x
EVTDESCinteraction.5;Diplomatic Menu;Menu Diplomatique;;;Menú diplomático;;;;;;;;;x
EVTOPTBinteraction.3;Diplomatic;Diplomatique;;;Diplomático;;;;;;;;;x
EVTDESCinteraction.10;[Root.GetTitle] [Root.GetFirstName], I hereby command you to lay down your arms and end your wars of aggression. If you ignore this express command from your rightful liege I will have no choice but to brand you traitor and enemy of the realm.\n\nSigned,\n[From.GetTitle] [From.GetFirstName] of House [From.GetOnlyDynastyName];[Root.GetTitle] [Root.GetFirstName], je vous ordonne de mettre fin immédiatement à votre guerre d'agression. En cas de refus, je n'aurais d'autres choix que de vous déclarer traître(sse) et ennemi(e) du royaume.\n\nSigné,\n[From.GetTitle] [From.GetFirstName] de la Maison [From.GetOnlyDynastyName];;;[Root.GetTitle] [Root.GetFirstName], Por la presente ordeno que pongáis fin a la guerra de agresión. Si ignoráis esta orden expresa de vuestro señor legítimo no tendré más opción que declararos traidor y enemigo del Reino.\n\nFirmado,\n[From.GetTitle] [From.GetFirstName] de la casa [From.GetOnlyDynastyName];;;;;;;;;x
EVTOPTAinteraction.10;[From.PrimaryTitle.GetFOA], I shall do as commanded;[From.PrimaryTitle.GetFOA], je ferai ce que vous ordonnez.;;;[From.PrimaryTitle.GetFOA], obedeceré;;;;;;;;;x
EVTOPTBinteraction.10;No;Non;;;No;;;;;;;;;x
EVTDESCinteraction.14;[Root.PrimaryTitle.GetFOA], I'm afraid I cannot end this war. My cause is just, and as such you have no right to command me to stand down. \n\nSigned,\n[From.GetTitle] [From.GetFirstName] of House [From.GetOnlyDynastyName];[Root.PrimaryTitle.GetFOA], je crains de ne pouvoir mettre fin à cette guerre. Ma cause est juste, aussi n'avez-vous pas le droit de me donner un tel ordre. \n\nSigné,\n[From.GetTitle] [From.GetFirstName] de la maison [From.GetOnlyDynastyName];;;[Root.PrimaryTitle.GetFOA], me temo que no puedo poner fin a esta guerra. Mi causa es justa, y además no tenéis el derecho de darme tal orden. \n\nFirmado,\n[From.GetTitle] [From.GetFirstName] de la casa [From.GetOnlyDynastyName];;;;;;;;;x
EVTOPTAinteraction.14;[From.GetSheHeCap] will be branded as a traitor;[From.GetSheHeCap] sera déclaré(e) traître(sse) et félon(ne).;;;[From.GetSheHeCap] será declarado como traidor;;;;;;;;;x
EVTOPTBinteraction.14;I will have [From.GetHerHim] arrested for treason;Je vais le(a) faire arrêter pour trahison.;;;Le haré arrestar por traidor.;;;;;;;;;x
EVTOPTDinteraction.14;I will name someone else rightful ruler of [From.PrimaryTitle.GetName];Je vais nommer quelqu'un d'autre à la tête de(u) [From.PrimaryTitle.GetName];;;Nombraré a alguien legítimo soberano de [From.Capital.GetName].;;;;;;;;;x
EVTTOOLTIPinteraction.14;You will chose who receives the claim;Vous allez choisir qui recevra la revendication;;;Elegirás quien recibirá la reclamación;;;;;;;;;x
EVTOPTCinteraction.14;Maybe I will allow it...just this one time.;Je vais fermer les yeux… mais juste pour cette fois.;;;Voy a cerrar mis ojos ... pero sólo esta vez.;;;;;;;;;x
EVTDESC20800303;Your liege [From.GetTitle] [From.GetFirstNameWithDynasty] orders you to hunt down a traitor among vassals. Refusing [From.GetHerHim] would be seen as treason.;Votre suzerain [From.GetTitle] [From.GetFirstNameWithDynasty] vous ordonne de pourchasser un traître parmi vos vassaux. Refuser serait considéré comme une trahison.;;;Tu Soberano [From.GetTitle] [From.GetFirstNameWithDynasty] ha ordenado perseguir a un traidor entre sus vasallos. Negarse sería considerado traición.;;;;;;;;;x
EVTOPTA20800303;Justice will prevail.;La justice doit prévaloir. ;;;La justicia debe prevalecer.;;;;;;;;;x
EVTOPTB20800303;I will not take up arms against my own subjects!;Je ne vais pas prendre les armes contre mes propres sujets!;;;No tomaré las armas contra mis propios súbditos!;;;;;;;;;x
EVTDESC20800304;Your liege [From.GetTitle] [From.GetFirstNameWithDynasty] intervented to protect you from the agressions of [FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty].;Votre suzerain [From.GetTitle] [From.GetFirstNameWithDynasty] est intervenu pour vous protéger de l'agression de [FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty].;;;Tu Señor [From.GetTitle] [From.GetFirstNameWithDynasty] ha intervenido para protegerte de la agresión de [FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty].;;;;;;;;;x
EVTDESC20800305;Your liege [From.GetTitle] [From.GetFirstNameWithDynasty] refused to go against you on [FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty]s behalf.;Votre suzerain [From.GetTitle] [From.GetFirstNameWithDynasty] a trahi [FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty] pour vous protéger. ;;;Tu Señor [From.GetTitle] [From.GetFirstNameWithDynasty] ha traicionado al [FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty] para protegerte.;;;;;;;;;x
EVTDESC20800306;Your vassal [From.GetTitle] [From.GetFirstNameWithDynasty] refused your orders to hunt down a traitor;Votre vassal [From.GetTitle] [From.GetFirstNameWithDynasty] a refusé de pourchasser un traître ;;;Tu vasallo [From.GetTitle] [From.GetFirstNameWithDynasty] se ha negado a perseguir a un traidor;;;;;;;;;x
EVTOPTA20800306;Treason! I will crush [From.GetHerHim] myself and burn [From.Capital.GetName] to the ground.;Trahison! Je vais l'écraser moi-même et réduire [From.Capital.GetName] en cendres.;;;Traición! Lo aplastaré y quemaré yo mismo [From.Capital.GetName] hasta que no queda una sola piedra.;;;;;;;;;x
EVTOPTA20800304;Thank you my [From.GetTitle].;Merci mon(ma) [From.GetTitle].;;;Gracias mi [From.GetTitle].;;;;;;;;;x
TOOLTIPCBENFORCEDTRUCE;[Root.GetTitledFirstName] has NOT recently been forced to call a truce with [From.GetTitledFirstName] by [Root.GetHerHis] liege\n;[Root.GetTitledFirstName] n'a pas été forcé récemment à faire une trêve avec [From.GetTitledFirstName] par son suzerain\n;;;[Root.GetTitledFirstName] no ha sido forzado recientemente ha hacer una tregua con [From.GetTitledFirstName] por su Señor\n;;;;;;;;;x
TOOLTIPCBENFORCEDTRUCEB;[Root.GetTitledFirstName] has NOT recently been forced to call a truce with [Root.Liege.GetTitledFirstName]\n;[Root.GetTitledFirstName] n'a pas été forcé récemment à faire une trêve avec [Root.Liege.GetTitledFirstName]\n;;;[Root.GetTitledFirstName] no ha sido forzado recientemente ha hacer una tregua con [Root.Liege.GetTitledFirstName]\n;;;;;;;;;x
EVTDESC20800307;Your liege [From.GetTitle] [From.GetFirstNameWithDynasty] calls your just action treason and demands your head.;Votre lige [From.GetTitle] [From.GetFirstNameWithDynasty] appelle votre juste cause une trahison et réclame votre tête. ;;;Tu señor [From.GetTitle] [From.GetFirstNameWithDynasty] llama a tu causa justa una traición y exige tu cabeza.;;;;;;;;;x
EVTOPTA20800307;Call my bannermen, Marshal. We are riding for [From.Capital.GetName].;Appelez mes bannerets, maréchal. Nous marchons sur [From.Capital.GetName].;;;Llamad a mis banderizos. Marchamos sobre [From.Capital.GetName].;;;;;;;;;x
CB_NAME_TRAITOR;Bring the traitor to justice;Traîner le traître en justice;;;Arrastrar a un traidor a la justicia;;;;;;;;;x
WAR_NAME_TRAITOR;$ORDER$$FIRST_ADJ$ traitor punishment against $SECOND$;$ORDER$$FIRST_ADJ$ punition du traître contre $SECOND$;;;$ORDER$$FIRST_ADJ$ castigo contra el traidor $SECOND$;;;;;;;;;x
EVTOPTA20800999;Ok.;Ok.;;;Bien.;;;;;;;;;x
EVTDESC20800999;[FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty] intervented against [From.GetTitle] [From.GetFirstNameWithDynasty].;[FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty] est intervenu contre [From.GetTitle] [From.GetFirstNameWithDynasty].;;;[FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty] ha intervenido en contra del [From.GetTitle] [From.GetFirstNameWithDynasty].;;;;;;;;;x
EVTDESC20800998;[FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty] tried to intervent against [From.GetTitle] [From.GetFirstNameWithDynasty] but [From.GetTitle] [From.GetFirstNameWithDynasty] refused.;[FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty] a essayé d'intervenir contre [From.GetTitle] [From.GetFirstNameWithDynasty] mais [From.GetTitle] [From.GetFirstNameWithDynasty] a refusé.;;;[FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty] ha tratado de intervenir contra el [From.GetTitle] [From.GetFirstNameWithDynasty] pero el [From.GetTitle] [From.GetFirstName] [From. GetOnlyDynastyName] se ha negado.;;;;;;;;;x
EVTDESCinteraction.15;Who should be granted a claim on [FromFrom.Capital.GetName] for the treason of [FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty];A qui devrions-nous accorder une revendication sur [FromFrom.Capital.GetName] suite à la trahison de [FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty]?;;;¿A quién debemos conceder una reclamación en [FromFrom.Capital.GetName] tras la traición del [FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty]?;;;;;;;;;x
EVTOPTAinteraction.15;Grant a claim on [FromFrom.PrimaryTitle.GetName] to a rival of the traitor;Accorder une revendication sur [FromFrom.Capital.GetName] à un rival du traître;;;Conceder una reclamación en [FromFrom.PrimaryTitle.GetName] a un rival del traidor;;;;;;;;;x
EVTOPTBinteraction.15;Grant a claim on [FromFrom.PrimaryTitle.GetName] to the liege of the traitor;Accorder une revendication sur [FromFrom.Capital.GetName] au suzerain du traître;;;Conceder una reclamación en [FromFrom.PrimaryTitle.GetName] para el señor del traidor;;;;;;;;;x
EVTOPTCinteraction.15;Grant a claim on [FromFrom.PrimaryTitle.GetName] to yourself;Revendiquer [FromFrom.Capital.GetName] pour vous-même.;;;Reclamar [FromFrom.Capital.GetName] para ti mismo.;;;;;;;;;x
EVTDESCinteraction.8;[Root.PrimaryTitle.GetFOA], I humbly ask that you intervene on my behalf against the aggression of [interaction_8_aggressor.GetTitledFirstNameNoRegnal] [interaction_8_aggressor.GetOnlyDynastyName], who is invading my lands in obvious contravention of the peace of the realm. I would be eternally grateful for your support in this matter.\n\nYours,\n[From.GetTitle] [From.GetFirstName] of House [From.GetOnlyDynastyName];[Root.PrimaryTitle.GetFOA], je vous demande humblement à ce que vous interveniez en ma faveur contre mon adversaire qui envahit mes terres, ce qui est contraire à la paix du royaume. Je vous serais éternellement reconnaissant de votre soutien en cette affaire.\n\nCordialement,\n[From.GetTitle] [From.GetFirstName] de la maison [From.GetOnlyDynastyName];;;[Root.PrimaryTitle.GetFOA], Os pido humildemente que intervengáis en mi ayuda contra mi adversario que ha invadido mis tierras, contraviniendo la paz del Reino. Le agradeceré eternamente su apoyo en este asunto.\n\nCordialmente,\n[From.GetTitle] [From.GetFirstName] de la casa [From.GetOnlyDynastyName];;;;;;;;;x
EVTOPTAinteraction.8;I will order [interaction_8_aggressor.GetTitledFirstNameNoRegnal] to stand down.;Je vais ordonner à ce vassal de rappeler ses troupes.;;;Pediré [interaction_8_aggressor.GetTitledFirstNameNoRegnal] para rendirse.;;;;;;;;;x
EVTOPTAinteraction.8B;The council shall vote, and I shall argue in [From.GetTitle] [From.GetFirstName]'s favour;Le conseil se prononcera par un vote et je plaiderai en faveur de [From.GetTitle] [From.GetFirstName];;;El Consejo votará y yo argumentaré en favor de [From.GetTitle] [From.GetFirstName];;;;;;;;;x
EVTOPTAinteraction.8C;The regency council shall decide on this matter;Le conseil de régence doit statuer à ce sujet;;;El Consejo de regencia tomará una decisión sobre este asunto;;;;;;;;;x
EVTOPTBinteraction.8;What do I care?;Qu'est-ce que j'en ai à faire?;;;¿Qué debo hacer?;;;;;;;;;x
EVTOPTBinteraction.8B;I will vote against sending the command to [interaction_8_aggressor.GetTitledFirstNameNoRegnal];Je vais voter contre l'envoi d'ordres à [interaction_8_aggressor.GetTitledFirstNameNoRegnal];;;Votaré contra el envío de órdenes a [interaction_8_aggressor.GetTitledFirstNameNoRegnal];;;;;;;;;x
EVTDESCinteraction.12;[Root.GetTitle] [Root.GetFirstName], whilst I sympathise with your plight, I have decided I cannot intervene in this war. I trust both sides to resolve their differences amicably.\n\nSigned,\n[From.GetTitle] [From.GetFirstName] of House [From.GetOnlyDynastyName];[Root.GetTitle] [Root.GetFirstName], bien que je comprenne votre demande et compatit à vos malheurs, je ne peux intervenir dans cette guerre. Je fais confiance aux deux camps pour parvenir à un accord de manière pacifique.\n\nSigné,\n[From.GetTitle] [From.GetFirstName] de la maison [From.GetOnlyDynastyName];;;[Root.GetTitle] [Root.GetFirstName], aunque entiendo su petición y lamento sus desgracias, no puedo intervenir en esta guerra. Confío en que ambas partes lleguéis a un acuerdo pacífico.\n\nFirmado,\n[From.GetTitle] [From.GetTitle];;;;;;;;;x
EVTOPTAinteraction.12;Amicably?! A useless response!;De manière pacifique?! ;;;De manera pacífica? Una respuesta sin sentido!;;;;;;;;;x
EVTDESCinteraction.13;[Root.PrimaryTitle.GetFOA], I will of course obey your will and end the war as commanded. Please take this as a sign of my continued loyalty.\n\nSigned,\n[From.GetTitle] [From.GetFirstName] of House [From.GetOnlyDynastyName];[Root.PrimaryTitle.GetFOA]. Bien entendu, je vais vous obéir et mettre un terme à la guerre. Merci de bien vouloir prendre ceci comme un signe de mon indéfectible loyauté à votre égard.\n\nSigné,\n[From.GetTitle] [From.GetFirstName] de la Maison [From.GetOnlyDynastyName];;;[From.GetTitle] [From.GetFirstNameWithDynasty] ha obedecido tu orden y ha puesto fin a la guerra.;;;;;;;;;x
EVTDESC20800452;Dark words arrive from the Wall my lord. A member of your dynasty died in an accident.;Une mauvaise nouvelle est arrivée du Mur mon seigneur, un membre de votre dynastie est mort dans un accident. ;;;Malas noticias llegaron del Muro mi señor, un miembro de su dinastía murió en un accidente.;;;;;;;;;x
EVTOPTA20800452;May he rest in peace.;Qu'il repose en paix.;;;Que descanse en paz.;;;;;;;;;x
banish_prisoner;Banish to Night's Watch;Envoyer à la Garde de Nuit;;;Desterrar a la Guardia de la Noche;;;;;;;;;x
banish_prisoner_desc;Force [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] to take the black and send them to the Wall.;Contraindre [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] à prendre le noir et l’envoyer au Mur;;;Forzar a [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a vestir el negro y enviarlo al Muro;;;;;;;;;x
banish_prisoner_named;Banish [Root.GetTitledFirstNameWithDynasty] to The Night's Watch;Envoyer [Root.GetFirstNameWithDynasty] à la Garde de Nuit;;;Desterrar a [Root.GetFirstNameWithDynasty] a la Guardia de la Noche;;;;;;;;;x
ask_liege_help;Request liege intervention;Demander l'intervention du suzerain;;;Solicitar la intervención del Señor;;;;;;;;;x
ask_liege_help_desc;Ask your liege for protection in a defensive war.;Demander protection à votre suzerain dans une guerre défensive;;;Pedir protección a tu señor en una guerra defensiva.;;;;;;;;;x
