black_hole_desc;Black holes are stars that had so much gravity, that when they ran out of fuel there was nothing to hold them back from collapsing under their own gravity, the result is a extremely compact region of space, with all the mass and gravity of a star, but a tiny size and no light being emitted. Navigating around them is dangerous since it is easy to 'crash' on them, rather fall on them, a fall that there is no reversing, being stranded without engines in such star system means certain death.;Trou noir;Schwarzes Loch;;Agujero negro;;;;;;;;;x
nebula;Nebula;Nébuleuse;Nebel;;Nebulosa;;;;;;;;;x
nebula_desc;The word Nebula, refers to many different things in space, the only thing common between all of them is that they appearance is nebulous. At Star System scales the kind of Nebula that matters are the Planetary Nebula, that are actually misnamed, since they are in fact more of a Red Giant nebula, these nebulas are result of a red giant shedding its outer layers and filling the area with gas. The other kind of Nebula that matters for navigation are the gigantic remnants of Super Nova, these can easily fill a huge area that emcompass several hundred if not more, star systems, Veil Nebula is one of these. Finally another important kind, that sometimes overlaps with the first two, are regions that are rich with material for the formation of new stars and planets, Orion nebula is one of these. To the disappointment of people that think that Nebulas are beautiful and must look awsome when we are travelling inside them, they are quite boring when seen from inside, although they do have more gas than most of the empty space between stars, they are still even more empty than any machine-produced vacuum possible on Earth.;Nébuleuse;Nebel;;Nebulosa;;;;;;;;;x
protostar;Protostar;Proto-étoile;Protostern;;Protoestrella;;;;;;;;;x
protostar_desc;In areas with Nebulas, new stars start forming, these are called Protostars, extremely new ones are completely useless for humanity, being just a slightly denser than normal gas that is hard to even find, but those that are about to become Main Sequence stars are more interesting, they emit infra-red light instead of normal colours, making them a source of heat but not a source of visible light, and although most of them have only gas around them, some might have rocks here and there nearby, if the rocks are big enough to star becoming planets, they probably will be overheated with exposed mantles, being good, if dangerous, places to find some materials, or for some kind of disaster tourism.;Proto-étoile;Protostern;;Protoestrella;;;;;;;;;x
sparse_system;Sparse System;;;;;;;;;;;;;x
sparse_system_desc;This is not a type of star, it is a type of colonization, a Sparse System is one where for whatever reasons the jumpgates weren't built in a more reasonable distance, also these systems are usually very empty, fighting inside them is dangerous becuase there is no defense, it is like a cannon fight in a flat boxing ring.;;;;;;;;;;;;;x
goldilocks_star;Goldilocks Star System;;;;;;;;;;;;;x
goldilocks_star_desc;This is not a type of star, but is the description that people came up with to explain how things work near the most popular Main Sequence stars, these stars are all similar to the Sun (including the Sun itself obviously), have wide Goldilocks Zone (the region where planets and bigger moons can be easily terraformed, including Earth itself), the gates are all near something useful, and there is plenty of traffic. Because of these features these systems are very useful, but dangerous, fighting in them means risking getting ambushed, with whoever was already in the system having the chance to build minefields near gates or putting mass drivers in asteroids pointing at those gates, crime is also more common due to the economic wealth available.;;;;;;;;;;;;;x
supergiant;Supergiant;;;;;;;;;;;;;x
supergiant_desc;These stars are absolutely massive, dangerous, hot and bright, completely unrelated to normal red giants, they are stars that from the start were gigantic, Betelgeuse for example is twenty times heavier than the Sun, and literally a thousand times larger. These stars produce ridiculous amounts of stellar wind, so much that the wind blows away planets, not just near them but near other stars too, there is no dust near them, only hellish superheated gases. Although it is extremely bad idea to ever try to live near one, Astrists in particular mastered the techniques to figure out where the winds will NOT be, and plan accordingly when building self-propelled space stations, this knowledge was used during the colonization of Orion to build the gates there intentionally in a way that to reach the heart of the region, it is necessary to cross military Astrist bases near supergiants, perfect places for mounting defences, since any invader would have to take a predictable path avoiding the ridiculously powerful stellar winds.;;;;;;;;;;;;;x

#Tooltip Text
high_gravity_star_tooltip;\nEffects because of the star high gravity and radiation, giving defensive bonuses:;;;;;;;;;;;;;x
high_gravity_star_econ_tooltip;\nEconomic effects because of the extreme gravity and unusual effects:;;;;;;;;;;;;;x
star_research_bonus_tooltip;\nThe unusual star is great for research:;;;;;;;;;;;;;x

#Tooltip For Terrain Modifiers
fake_movement_cost;Movement Cost;;;;;;;;;;;;;x
fake_defence;Defence;;;;;;;;;;;;;x
fake_max_attrition;Maximum Attrition;;;;;;;;;;;;;x
fake_supply_limit;Supply Limit;;;;;;;;;;;;;x
fake_bottleneck_chance;Bottleneck Chance;;;;;;;;;;;;;x
fake_local_build_time_modifier;Build Time;;;;;;;;;;;;;x
fake_local_build_cost_modifier;Build Cost;;;;;;;;;;;;;x
fake_tax_income;Tax Income;;;;;;;;;;;;;x
fake_fort_level;Fort Level;;;;;;;;;;;;;x
fake_military_techpoints;§RMilitary§! Techpoints;;;;;;;;;;;;;x
fake_economy_techpoints;§MSocial§! Techpoints;;;;;;;;;;;;;x
fake_culture_techpoints;§BScience§! Techpoints;;;;;;;;;;;;;x
fake_local_tax_modifier;System Tax Generation;;;;;;;;;;;;;x
local_revolt_risk;Revolt Risk (because crime);;;;;;;;;;;;;x
