#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#Technology Group Names
#Game is hardcoded to only three of them, and probably you can't change the code name

TECH_GROUP_MILITARY;Military Technology;Technologie militaire;;;;;;;;;;;;x
TECH_TERRAFORMING_DESC;\nXenostudies and Terraforming\n§M"I am a humanitarian. My project is for the benefit of humanity. I will not sacrifice meaningful human lives for the benefit of mindless viruses and fungi."\n - Yuri Solomonov, Response to the Xenological Conservation Council§!\nResearch into anything about life in planets outside Earth, from farming, colonization, terraforming or hunting techniques.;Recherche sur les origines de la vie extraterrestre, pouvant améliorer l'éspérance de vie de nos administrés dans les environements extraterrestres hostiles.;;;;;;;;;;;;x
TECH_EDUCATION;Education;Education;;;;;;;;;;;;x
TECH_EDUCATION_DESC;§M"Secrecy is ignorance. What only the few know, none know. The greatest achievement in human history was the democratization of knowledge."\n - Director-General Bhagnirathy Srivastava, A Call to Reason§!\nResearch into superior teaching methods and academic organization.;Recherche de nouvelles méthodes d'enseignement supérieur et d'organisation académique.;;;;;;;;;;;;x
TECH_ECONOMICS;Economics;;;;;;;;;;;;;x
TECH_ECONOMICS_DESC;§M"For millennia, humanity made do with ONE planet. Explain to me again how you cannot possibly turn a profit with three."\n - Robert Weyland, Weyland Industries Internal Memorandum§!\nResearch into the best means for extracting government revenue from interstellar and local economies.;Recherche sur les meilleurs moyens de relever les taxes dans les économies interstellaires.;;;;;;;;;;;;x
TECH_TRADE_PRACTICES;Interstellar Trade;Commerce interstellaire;;;;;;;;;;;;x
TECH_TRADE_PRACTICES_DESC;§M"Some would blame the Crisis on the folly of the Periphery, others on the arrogance of the old Confederation. These high dramas conceal the prosaic truth - that it was an inevitable consequence of a fundamental failure of logistics."\n - Professor Hong Gao, Observations from Captivity§!\nResearch into the effects of globalized economies, modern shipping technology, and time dilation on interstellar trade.;Recherche sur les effets des économies globalisées, les technologies logistiques modernes, et la dilatation du temps dans le commerce interstellaire.;;;;;;;;;;;;x
TECH_PUBLIC_SERVICE;Public Service;;;;;;;;;;;;;x
TECH_PUBLIC_SERVICE_DESC;§M"The purpose of the state is to provide for its people. If it cannot fulfill its purpose, then it must be repaired. If it cannot be repaired, then it must be discarded."\n - Governor-General Juan Lebedev, Coming of Age§!\nResearch into new techniques for providing public services on a global scale.;Recherche dans le développement d'intelligences artificielles, comprenant l'étude de techniques de combat avancées pour les drônes militaires.;;;;;;;;;;;;x
TECH_SOCIOLOGY;Sociology;Sociologie;;;;;;;;;;;;x
TECH_SOCIOLOGY_DESC;§M"The sole measure of a leader is the loyalty and devotion of their followers. All else is posturing."\n - Captain-General Tao Luo, Principles of Statecraft§!\nResearch into modern social hierarchies and power structures, and the best methods for modern leadership.;Recherche sur les hiérarchies sociales modernes et les structures de pouvoir, et les meilleurs méthode pour affirmer sa supériorité.;;;;;;;;;;;;x

TECH_CONSTRUCTION;Engineering;;;;;;;;;;;;;x
TECH_CONSTRUCTION_DESC;;;;;;;;;;;;;;x
TECH_MEDICINE;Medicine;Médecine;;;;;;;;;;;;x
TECH_MEDICINE_DESC;§M"God tests us, and we must rise to meet His challenge. This curse cannot stand against human ingenuity."\n - Yuri Solomonov, Address at Posadka§!\nResearch into the effects of, and possible treatments for, extraterrestrial diseases.;Recherche sur les effets, et les traitements potentiels, des maladies extraterrestres.;;;;;;;;;;;;x
TECH_CYBERNETICS;Cybernetics;Cybernétique;;;;;;;;;;;;x
TECH_CYBERNETICS_DESC;§M"Where exactly within the human body does this 'humanity' lie? You say it remains when you cut off a child's arm, but vanishes when I build them a new one. I find the value of such a thing questionable."\n - Director-General Bhagnirathy Srivastava, A Call to Reason§!\nResearch into both techniques for and applications of human mechanical augmentation.;Recherche sur la théorie et les applications des augmentations mécaniques de l'Humain.;;;;;;;;;;;;x
TECH_PROPULSION;Propulsion;;;;;;;;;;;;;x
TECH_PROPULSION_DESC;§M"Reaching the limits inside the tyranny of the rocket equation was a development second only to the discovery of hyperspace in terms of its importance to human history."\n - Vice-Admiral Kwanza Husani, Ares Academy Handbook§!\nAlthough the discovery of hyperspace briefly made humanity think they were finally freed from the shackles of the speed of light, the difficulty in building the tunneler ships, and the fact nobody really knows how they really work, sent those dreams crashing down again. This research is fundamental to speed-up space travel using jump-gates, also the increased engine power make ship engines into formidable defensive weapons. Also being able to outrun missiles or dodge slugs shot from afar is a nice bonus too.;Recherche sur la manipulation et l'ingénieurie génétique, y compris le clônage et les modifications du génôme humain.;;;;;;;;;;;;x
TECH_SPACE_CONSTRUCTION;Superscale Construction;;;;;;;;;;;;;x
TECH_SPACE_CONSTRUCTION_DESC;§M"The people of an entire world, united by a common goal and a common bond, are capable of anything."\n - Director-General Ekateirna Leonidov, History of the Fourth Millennium (2576 Edition)§!\nResearch on how best to integrate and manage labor and industry on a global scale enabling large construction projects, it is an essential technology for the construction of large scale orbitcal structures.;;;;;;;;;;;;;x
TECH_NAVAL;Drydocks;;;;;;;;;;;;;x
TECH_NAVAL_DESC;§M"The situation at Ahora la Luz is unlikely to improve until Mars starts sending me less midshipmen and more ships."\n - Fleet Admiral Zeal Dravid, Report to Grand Admiral Wei Luo§!\nResearch into the construction of space-based facilities that work in coordination with other space stations or ground facilities, for the purpose of building big capital ships in space.;;;;;;;;;;;;;x


#Tooltips for custom effects of tech
better_chance_of_detecting_enemy_tt;This technology affects your commanders chance of detecting enemy flagships during combat.;;;;;;;;;;;;;x
terraforming_1_tt;Sufficient technology to build protective domes in rocky planets or floating stations in gas giants.;;;;;;;;;;;;;x
terraforming_2_tt;Sufficient technology to build huge protective domes in rocky planets or floating stations in gas giants, with better shielding too.;;;;;;;;;;;;;x
terraforming_3_tt;Sufficient technology to turn areas around the colony work-able, allowing farming with plants compatible with local environment, mining with less protection suits and so on.;;;;;;;;;;;;;x
terraforming_4_tt;Sufficient technology to make the whole planet habitable for humans, allowing farming with plants originally from Earth.;;;;;;;;;;;;;x

#Tooltips for buildings that unlock stuff
unlocks_destroyer_retinue_tt;This building allows construction of destroyer retinues.;;;;;;;;;;;;;x
unlocks_battleship_retinue_tt;This building allows construction of battleship retinues.;;;;;;;;;;;;;x
unlocks_partially_battleship_retinue_tt;This building alongside some others on same type of holding allows construction of battleship retinues.;;;;;;;;;;;;;x


#Tooltips for decisions
TECHCYBERNETICS0;§Y*§! Direct Neural Interface (Cost 100)\n§Y*§! Mk I Implants (Cost 500)\n§Y*§! Cybernetic Limb (Cost 500);;;;;;;;;;;;;x
TECHCYBERNETICS1;§Y*§! Mk I Implants (Cost 250)\n§Y*§! Cybernetic Limb (Cost 250);;;;;;;;;;;;;x
TECHCYBERNETICS2;§Y*§! Direct Neural Interface (Cost 50)\n§Y*§! Mk II Implants (Cost 500)\n§Y*§! Mk I Implants (Cost 100)\n§Y*§! Cybernetic Limb (Cost 100);;;;;;;;;;;;;x
TECHCYBERNETICS3;§Y*§! Direct Neural Interface (Cost 25)\n§Y*§! Mk II Implants (Cost 250)\n§Y*§! Mk I Implants (Cost 50)\n§Y*§! Cybernetic Limb (Cost 50);;;;;;;;;;;;;x
TECHCYBERNETICS4;§Y*§! Direct Neural Interface (Cost 10)\n§Y*§! Mk III Implants (Cost 500)\n§Y*§! Mk II Implants (Cost 100)\n§Y*§! Mk I Implants (Cost 25)\n§Y*§! Cybernetic Limb (Cost 25);;;;;;;;;;;;;x
TECHCYBERNETICS5;§Y*§! Direct Neural Interface (Cost 5)\n§Y*§! Mk III Implants (Cost 250)\n§Y*§! Mk II Implants (Cost 50)\n§Y*§! Mk I Implants (Cost 10)\n§Y*§! Cybernetic Limb (Cost 10);;;;;;;;;;;;;x
TECHCYBERNETICS6;§Y*§! Direct Neural Interface (§GFree§!)\n§Y*§! Full Cybernetic Conversion (Cost 2000)\n§Y*§! May Invent Hiver Implant\n§Y*§! Mk IV Implants (Cost 500)\n§Y*§! Mk III Implants (Cost 100)\n§Y*§! Mk II Implants (Cost 25)\n§Y*§! Mk I Implants (Cost 5)\n§Y*§! Cybernetic Limb (Cost 5);;;;;;;;;;;;;x
TECHCYBERNETICS7;§Y*§! Full Cybernetic Conversion (Cost 1000)\n§Y*§! Mk IV Implants (Cost 250)\n§Y*§! Mk III Implants (Cost 100)\n§Y*§! Mk II Implants (Cost 10);;;;;;;;;;;;;x
TECHCYBERNETICS8;§Y*§! Full Cybernetic Conversion (Cost 500)\n§Y*§! Mk V Implants (Cost 500)\n§Y*§! Mk IV Implants (Cost 100)\n§Y*§! Mk III Implants (Cost 50)\n§Y*§! Mk II Implants (Cost 5);;;;;;;;;;;;;x
