#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#CAVALRY_COMBAT_MODIFIER;Combat Modifier of §Y$WHO$§! boost to Mounted Troops: $PERC$;;Gefechtsmodifikator von §Y$WHO$§! Steigerung für Kavallerie: $PERC$;;;;;;;;;;;x
#DEF_BONUS_AGAINST_ENEMY;Defence bonus against enemy flank: $PERC$;;Verteidigungsbonus gegen gegnerische Flanke: $PERC$;;;;;;;;;;;x
#DEF_BONUS_MORALE;Morale Defence bonus: $PERC$ morale damage;;Moralbonus auf Verteidigung: $PERC$ Moralschaden;;;;;;;;;;;x
#MORALE_DEF_COMBAT_MODIFIER;Morale Defence Combat Modifier of §Y$WHO$§!: $PERC$;;Gefechts-Moralbonusmodifikator auf Verteidigung von §Y$WHO$§!: $PERC$;;;;;;;;;;;x
#ATT_BONUS_MORALE;Morale Offence bonus: $PERC$ morale damage;;Moralbonus auf Angriff: $PERC$ Moralschaden;;;;;;;;;;;x
#MORALE_ATT_COMBAT_MODIFIER;Morale Offence Combat Modifier of §Y$WHO$§!: $PERC$ morale damage;;Gefechts-Moralbonus auf Verteidigung von §Y$WHO$§!: $PERC$ Moralschaden;;;;;;;;;;;x
FLANKING;Flanking;Attaque sur le flanc;Flankenattacke;;;;;;;;;;;x
CENTER;Leading the Center;Mène le centre;Führung im Zentrum;;;;;;;;;;;x
#FLANKING_COMBAT_MODIFIER;Flanking Combat Modifier of §Y$WHO$§!: $PERC$;;Gefechts-Flankenangriffsmodifikator von §Y$WHO$§!: $PERC$;;;;;;;;;;;x
#CENTER_COMBAT_MODIFIER;Leading the Center Combat Modifier of §Y$WHO$§!: $PERC$;;Gefechtsmodifikator durch Führung des Zentrums von §Y$WHO$§!: $PERC$;;;;;;;;;;;x
DEFENCE;Defence;Défense;Verteidigung;;;;;;;;;;;x
CANNOT_PLAY_MUSLIM_WITHOUT_DLC;You cannot play Rutilad without The Sword of Rutilad DLC;Vous ne pouvez jouer un seigneur musulman sans le DLC «Sword of Rutilad»;Sie können kein Moslem ohne Das Schwert des Rutilad DLC spielen;;;;;;;;;;;x
NOT_ALLOWED_MUSLIM;Not allowed to play §YRutilad§! without The Sword of Rutilad DLC!;N'est pas autorisé à jouer §Yun seigneur musulman§! sans le DLC «Sword of Rutilad»;Spielen als §YRutilad§! ist ohne Das Schwert des Rutilad DLC nicht erlaubt!;;;;;;;;;;;x
NOT_ALLOWED_MUSLIM_MP;§Y$PLAYER$§! not allowed to play §YRutilad§! without The Sword of Rutilad DLC;Il n'est pas permis à §Y$PLAYER$§! de jouer §Yun seigneur musulman§! sans le DLC «Sword of Rutilad»;§Y$PLAYER$§! ist nicht erlaubt als §YRutilad§! ohne Das Schwert des Rutilad DLC zu spielen;;;;;;;;;;;x
RD_NOT_PLAYABLE_WITHOUT_MUSLIM_DLC;Rutilads are not playable without The Sword of Rutilad DLC;Les musulmans ne sont pas jouables sans le DLC «Sword of Rutilad»;Moslems sind nicht spielbar ohne Das Schwert des Rutilad DLC;;;;;;;;;;;x
MUST_SELECT_PLAYER;Must select a Character to play!;Vous devez sélectionner un personnage pour jouer;Sie müssen einen Charakter auswählen um zu spielen!;;;;;;;;;;;x
